contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,VVD,50PLUS
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Publiekshal gemeentehuis Bernheze, De Misse 6, Heesch",1721::SB1,5384 BZ,1554,763,17,12,0,0,0,709,83,0,0,0,0,0,0,792,217,154,87,70,139,96
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Zorginstelling Heelwijk, Mozartlaan 2, Heesch",1721::SB2,5384 CG,1881,762,17,5,0,0,0,703,81,0,0,0,0,0,0,784,228,153,99,63,159,60
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Basisschool De Kiem, De Ploeg 101, Heesch",1721::SB3,5384 HL,1569,570,11,6,0,0,0,535,52,0,0,0,0,0,0,587,126,161,88,50,72,73
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Sporthal 't Vijfeiken, 't Vijfeiken 53, Heesch",1721::SB4,5384 ER,1649,637,17,8,0,0,0,592,72,0,0,0,2,0,0,664,216,139,83,42,106,51
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau College Het Hooghuis, Schoonstraat 34, Heesch",1721::SB5,5384 AP,1682,436,10,2,0,0,0,386,62,0,0,0,0,0,0,448,179,92,40,24,74,27
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Brandweerkazerne Heesch, De la Sallestraat 1, Heesch",1721::SB6,5384 NK,1607,704,13,3,0,0,1,643,76,0,0,0,0,0,0,720,280,112,69,32,161,50
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Gemeenschapshuis De Wis, Schaapsdijk 27, Loosbroek",1721::SB7,5472 PD,1261,605,8,3,0,0,0,528,88,0,0,0,0,0,0,616,339,96,34,26,91,19
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Cultureel centrum Nesterlé, Parkstraat 2, Nistelrode",1721::SB8,5388 HS,1564,579,10,2,0,0,0,527,64,0,0,0,0,0,0,591,233,139,43,27,87,50
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Zorginstelling Laarstede, Laar 40, Nistelrode",1721::SB9,5388 HH,1537,527,11,4,0,0,0,486,56,0,0,0,0,0,0,542,204,110,60,34,61,58
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Sporthal De Overbeek, De Hoef 23 a, Nistelrode",1721::SB10,5388 EL,1638,594,19,6,0,0,0,546,73,0,0,0,0,0,0,619,197,166,37,46,101,47
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Gemeenschapshuis De Stuik, Schoolstraat 14, Vorstenbosch",1721::SB11,5476 KK,1560,670,7,4,0,0,1,577,103,0,0,0,0,0,0,681,357,131,45,28,80,29
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Cultureel Centrum Servaes HD, Raadhuisplein 24, Heeswijk-Dinther",1721::SB12,5473 GC,1481,614,17,5,0,0,0,565,71,0,0,0,0,0,0,636,196,171,72,27,89,59
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Basisschool 't Palet, Steen- en Stokstraat 2, Heeswijk-Dinther",1721::SB13,5473 RN,1521,602,8,2,0,0,0,543,69,0,0,0,0,0,0,612,200,154,52,43,110,43
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Zorginstelling Cunera / De Bongerd, Zijlstraat 1, Heeswijk-Dinther",1721::SB14,5473 CJ,1467,591,15,1,0,0,0,543,66,0,0,0,0,0,0,609,225,132,73,31,94,36
Aa en Maas,Bernheze,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Willibrordcentrum, Hoofdstraat 78, Heeswijk-Dinther",1721::SB15,5473 AS,1228,576,18,4,0,0,0,534,64,0,0,0,0,0,0,598,183,190,45,30,100,28
