contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Algemene Waterschapspartij Delfland,Partij voor de Dieren,50PLUS,ChristenUnie-SGP
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk Gemeentehuis,1783::SB1,2671 GW,1459,815,10,6,0,0,0,737,94,0,0,0,0,0,0,831,223,44,66,202,161,42,33,44
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk Bibliotheek,1783::SB2,2671 GK,1388,628,13,0,0,0,0,572,69,0,0,0,0,0,0,641,252,28,26,144,118,22,23,15
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk De Ouverture,1783::SB3,2671 VV,913,475,4,5,0,0,0,422,61,0,0,1,0,1,0,483,175,18,35,90,100,21,18,18
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk De Naaldhorst,1783::SB4,2671 ME,1781,639,10,2,0,0,0,574,77,0,0,0,0,0,0,651,177,39,52,126,128,37,35,45
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk Careyn Rozenhof,1783::SB5,2671 KH,1109,651,9,3,0,1,0,586,78,0,0,0,1,0,0,664,222,28,25,174,103,32,30,37
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk Gymzaal Wollegras,1783::SB6,2671 ZZ,1681,810,17,1,0,0,0,732,96,0,0,0,0,0,0,828,233,61,50,207,159,34,31,35
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk De Binnenhof,1783::SB7,2671 EG,1404,593,8,7,0,1,0,554,55,0,0,0,1,0,0,609,168,40,44,125,123,42,28,23
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk Openbare Daltonschool,1783::SB8,2672 BB,1360,773,20,0,0,0,0,707,87,0,1,0,1,0,0,794,221,59,81,170,128,40,45,29
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk Brandweerkazerne,1783::SB9,2671 JP,1356,571,10,5,0,0,0,524,62,0,0,0,0,0,0,586,158,45,33,140,105,37,20,33
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk Bernadetteschool,1783::SB10,2673 BK,1994,898,16,2,0,0,0,781,135,0,0,0,0,0,0,916,278,37,48,333,135,23,18,26
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Naaldwijk De Regenboog,1783::SB11,2672 DR,1469,597,10,1,0,0,0,536,73,0,1,0,1,0,0,609,183,25,33,186,109,28,16,17
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Honselersdijk De Hunselaer,1783::SB12,2675 XJ,1531,705,15,4,0,0,0,643,81,0,0,0,0,0,0,724,221,48,61,145,129,45,38,18
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Honselersdijk Rehoboth,1783::SB13,2675 CL,1636,891,9,4,0,0,0,786,118,0,0,0,0,0,0,904,331,27,62,179,201,46,31,14
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Honselersdijk De Voorhof,1783::SB14,2675 AZ,1357,600,12,3,0,0,0,533,82,0,0,0,0,0,0,615,211,14,37,182,93,32,14,17
Delfland,Westland,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Honselersdijk voorheen JAC De Mixx,1783::SB15,2675 TT,1497,352,7,5,0,0,0,323,40,0,0,1,0,1,0,363,87,36,32,78,57,29,15,18
