contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Junushoff,0289::SB1,6701 AS,2173,932,79,9,0,0,1,958,61,0,0,0,0,0,0,1020,152,59,253,10,16,100,120,147,75
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Verzorgingshuis De Nudehof,0289::SB2,6702 BR,2134,796,27,12,0,0,0,780,54,0,0,1,0,1,0,834,136,84,181,34,37,98,77,82,67
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Verzorgingshuis Rumah Kita,0289::SB3,,1884,662,19,3,0,1,0,629,54,0,0,1,0,0,0,683,106,60,188,16,26,66,70,64,66
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Woningstichting,0289::SB4,6707 EN,1746,777,38,5,0,2,0,762,56,0,0,2,0,0,0,818,164,58,185,11,55,93,53,76,82
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Gereformeerde Kerk Vrijgemaakt,0289::SB5,6706 BE,1407,722,16,3,0,0,0,688,53,0,0,0,0,0,0,741,156,52,246,8,21,65,57,61,56
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Johan Frisoschool Zuid,0289::SB6,6708 BR,1741,798,26,11,0,0,0,774,61,0,0,0,0,0,0,835,124,66,266,14,44,85,52,81,66
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Wijkcentrum Pomhorst,0289::SB7,6708 CV,1682,703,30,8,0,0,0,657,84,0,0,0,0,0,0,741,137,43,204,20,41,72,69,64,53
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau OBS  De Tarthorst,0289::SB8,6708 JA,1689,604,28,4,0,1,0,591,44,0,0,1,0,0,0,635,132,39,158,10,28,72,27,81,57
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Speeltuinvereniging Tuindorp,0289::SB9,6707 HR,1326,527,17,4,0,0,0,503,45,0,0,0,0,0,0,548,133,39,118,8,32,57,35,54,51
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau H.J. Piekschool,0289::SB10,6708 KP,1340,544,5,13,0,0,0,516,46,0,0,0,0,0,0,562,102,34,186,16,22,44,48,47,45
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Margrietschool,0289::SB11,6706 KA,1829,704,25,3,0,0,0,674,58,0,0,0,0,0,0,732,122,62,191,22,18,74,77,77,61
Vallei en Veluwe,Wageningen,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Pantarijn,0289::SB12,6706 KN,1651,788,37,6,0,0,0,767,64,0,0,0,0,0,0,831,130,62,236,22,31,81,75,95,56
