contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Gemeentehuis,0597::SB1,,1124,617,15,5,7,0,0,548,82,0,0,7,0,0,0,630,158,62,59,56,45,84,29,55,28,16,25
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau St. Jorisparochie,0597::SB2,,1034,255,14,4,0,0,0,249,24,0,0,0,0,0,0,273,77,29,23,23,11,37,11,19,12,4,9
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Rehobothschool,0597::SB3,,1104,404,6,3,0,0,0,356,57,0,0,0,0,0,0,413,81,18,27,18,32,134,10,60,9,7,8
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wijkcentrum West,0597::SB4,,1216,643,13,2,0,0,0,597,61,0,0,0,0,0,0,658,170,78,42,30,30,159,11,44,29,28,22
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Dependance Farel College,0597::SB5,,1213,506,14,3,0,0,0,472,52,0,0,0,0,0,0,524,154,40,41,28,28,80,23,42,26,19,25
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Kerk de Levensbron,0597::SB6,,1239,623,21,0,0,0,0,561,83,0,0,0,0,0,0,644,178,68,32,26,52,132,11,53,28,21,22
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Obs de Noord,0597::SB7,,1486,567,21,3,0,0,0,520,71,0,0,0,0,0,0,591,178,51,57,53,28,71,23,27,30,23,26
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Cbs de Wingerd,0597::SB8,,1699,913,19,6,0,9,0,834,95,0,0,9,0,0,0,929,218,92,61,62,65,149,44,86,44,44,48
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wilhelminakerk,0597::SB9,,1720,472,9,0,0,0,0,433,48,0,0,0,0,0,0,481,124,56,34,30,43,75,25,38,18,13,16
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Basisschool De Driemaster,0597::SB10,,1005,450,13,1,0,0,0,403,61,0,0,0,0,0,0,464,95,59,33,30,38,86,19,46,17,14,13
