contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Brikkeoave,0899::SB1,6444 AT,1508,806,38,11,0,0,1,744,112,0,2,0,2,0,0,857,408,29,105,13,4,6,188,53
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Parochiezaal Gregoriusk,0899::SB2,6441 BD,1411,672,20,6,0,0,0,610,88,0,0,0,0,0,0,698,347,37,111,6,8,4,97,62
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zaal café De Kroeg,0899::SB3,6441 TE,974,376,3,3,0,0,0,342,40,0,0,0,0,0,0,382,209,21,60,6,1,12,28,39
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Verpleeghuis Schuttershof,0899::SB4,6442 BE,1173,450,20,6,0,0,0,423,53,0,0,0,0,0,0,476,229,18,82,4,3,13,61,40
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau BMV Bronsheim,0899::SB5,6442 EJ,1802,482,17,3,0,0,0,437,65,0,0,0,0,0,0,502,257,14,91,8,3,14,46,49
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Huize Louise,0899::SB6,6443 BA,1540,591,34,1,0,0,2,551,76,0,3,0,3,0,0,629,333,27,89,7,7,11,70,47
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Speeltuingebouw Buschkesberg,0899::SB7,6443 CW,1200,419,18,3,0,0,0,385,55,0,0,0,0,0,0,440,246,16,71,5,0,6,58,17
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Brede school Langeberg,0899::SB8,6445 EM,1175,432,22,1,0,0,0,408,47,0,0,0,0,0,0,455,223,18,69,11,5,7,50,49
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Verenigingsgebouw De Burcht,0899::SB9,6445 CE,1272,494,12,5,0,0,0,449,64,0,2,0,2,0,0,513,300,9,81,8,6,2,53,35
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Parochiezaal Barbarakerk,0899::SB10,6444 XM,1888,843,38,2,0,0,1,780,102,0,0,0,0,0,0,883,496,56,125,12,12,10,67,65
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Trefcentrum Treebeek,0899::SB11,6446 XE,1721,551,22,7,0,0,0,514,66,0,0,0,0,0,0,580,316,28,76,8,4,10,59,50
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Emmastaete,0899::SB12,6446 XE,2051,728,27,5,0,0,0,682,78,0,0,0,0,0,0,760,439,53,91,13,4,10,69,49
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool Fatima,0899::SB13,6444 CL,2103,766,50,8,0,0,0,742,84,0,2,0,2,0,0,826,434,29,103,19,6,18,120,37
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Microhal,0899::SB14,6441 HV,2004,483,18,3,0,0,0,440,64,0,0,0,0,0,0,504,272,30,92,2,6,3,32,46
Roer en Overmaas,Brunssum,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Microhal,0899::SB15,6441 HV,1961,846,40,13,0,0,0,816,83,0,0,0,0,0,0,899,463,32,146,13,7,11,103,71
