contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,ChristenUnie,Sallandse Gemeentebelangen,Staatkundig Gereformeerde Partij (SGP),VVD,Algemene Waterschapspartij
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Gemeentehuis,0177::SB1,,2225,1242,24,13,0,0,0,1185,94,0,0,0,0,0,0,1279,220,442,17,311,5,209,38
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Swaenewoerd,0177::SB2,,1376,685,18,6,0,1,0,664,44,0,0,1,0,0,0,708,129,259,13,152,7,97,28
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Bolster,0177::SB3,,1124,511,5,2,0,0,0,479,39,0,0,0,0,0,0,518,91,155,7,144,10,68,36
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Dorpshuis Lierderholthuis,0177::SB4,,446,219,4,0,0,0,0,201,22,0,0,0,0,0,0,223,53,81,2,40,0,39,4
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Brinkhuis- van Hoogstraten,0177::SB5,,1261,656,16,6,0,2,0,618,58,0,0,2,0,0,0,676,149,201,9,143,1,125,28
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Hartkamp,0177::SB6,,1557,750,17,10,0,0,0,724,53,0,0,0,0,0,0,777,172,230,10,197,3,101,37
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Helpende Handen,0177::SB7,,951,437,5,2,0,0,0,411,32,0,0,1,0,1,0,443,100,124,9,112,2,64,26
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Carmel College,0177::SB8,,1223,280,7,1,0,0,0,266,22,0,0,0,0,0,0,288,70,72,3,72,0,51,12
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Vogelaar,0177::SB9,,1743,917,21,6,0,0,98,846,0,0,0,0,0,0,0,944,208,225,16,249,3,172,44
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Schuilenburg,0177::SB10,,1786,733,16,4,0,0,0,660,93,0,0,0,0,0,0,753,136,183,9,179,3,196,27
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Elckerlyc,0177::SB11,,1680,814,17,1,0,0,0,729,103,0,0,0,0,0,0,832,87,466,6,148,0,84,23
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Schalm,0177::SB12,,1212,598,4,2,0,0,0,541,63,0,0,0,0,0,0,604,49,375,8,97,1,51,17
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Belte,0177::SB13,,917,407,5,6,0,0,0,376,42,0,0,0,0,0,0,418,37,220,4,100,1,30,15
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Trefpunt,0177::SB14,,1427,744,4,2,0,0,0,684,65,0,0,1,0,1,0,749,96,262,11,287,8,52,28
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Stevenskamp,0177::SB15,,1392,700,5,1,0,0,0,638,68,0,0,0,0,0,0,706,58,315,3,249,2,60,13
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Hoppe,0177::SB16,,996,462,4,2,0,0,0,428,40,0,0,0,0,0,0,468,61,202,6,78,2,100,13
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Rietkraag,0177::SB17,,1838,506,13,2,0,0,0,475,46,0,0,0,0,0,0,521,93,148,17,141,2,79,26
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau 't Trefpunt,0177::SB18,,444,273,5,0,0,0,0,260,18,0,0,0,0,0,0,278,60,91,43,46,11,15,7
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Veldhoek,0177::SB19,,752,403,3,4,0,0,0,366,44,0,0,0,0,0,0,410,86,141,17,81,2,58,18
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Het Wooldhuis,0177::SB20,,1414,737,15,7,0,0,1,693,64,0,0,1,0,1,0,758,207,201,30,167,6,79,47
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Dorpshuus Heino,0177::SB21,,1561,901,20,6,0,0,0,866,62,1,0,0,1,0,0,928,259,284,40,170,5,95,48
Groot Salland,Raalte,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Hoogerheijne,0177::SB22,,1667,861,21,2,0,0,0,822,61,0,0,1,0,1,0,883,231,209,58,187,3,119,54
