contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",Werk aan Water,CDA,Algemene Waterschapspartij,VVD,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Woonzorgcentrum De Hoven,0995::SB1,8233 BK,1114,420,8,1,0,0,1,368,61,0,1,0,1,0,0,430,104,81,70,35,32,17,4,77
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Woonzorgcentrum De Uiterton,0995::SB2,8224 MA,1901,758,10,6,0,0,0,694,80,0,0,0,0,0,0,774,249,104,98,65,68,35,21,118
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School Laetare,0995::SB3,8223 ZR,1680,547,4,4,0,11,0,471,73,0,0,11,0,0,0,544,222,55,52,50,49,31,31,57
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Wijkcentrum Zuiderzee,0995::SB4,8223 CL,1469,443,8,6,0,0,0,411,46,0,0,0,0,0,0,457,179,31,46,48,35,36,5,63
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Atolplaza,0995::SB5,8224 CM,1822,530,13,6,0,2,0,487,70,0,6,0,8,0,0,557,201,35,55,56,45,36,15,87
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kerkcentrum Ontmoetingskerk,0995::SB6,8224 CM,1604,500,7,3,0,0,0,469,41,0,0,0,0,0,0,510,192,35,64,57,33,23,11,85
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Wingerd,0995::SB7,8212 CA,1519,847,9,10,0,1,0,773,92,0,0,1,0,0,0,865,347,53,127,80,107,52,23,58
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School Arcus,0995::SB8,8224 KR,1235,485,15,5,0,0,0,445,60,0,0,0,0,0,0,505,180,34,69,67,50,28,10,47
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Buurtvereniging Het Palet,0995::SB9,8212 CA,1764,910,8,6,0,0,0,846,78,0,0,0,0,0,0,924,364,75,80,114,104,48,16,109
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Laarstaete,0995::SB10,8225 CB,1597,413,10,3,0,0,0,394,32,0,0,0,0,0,0,426,174,26,46,38,32,35,2,60
