contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Socialistische Waterschapsvereniging,Partij voor de Dieren,Eigen Woning en Water !,Algemene Waterschapspartij,Recreatie Wonen en Water,ChristenUnie - SGP,50PLUS,De Groenen,Partij voor Mens en Spirit (MenS)
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Gemeentehuis,0736::SB1,,1821,1069,29,5,0,0,0,1015,90,0,0,0,2,0,0,1105,114,85,219,309,19,50,27,25,39,69,88,19,6
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Bibliotheek AVV,0736::SB2,,2144,922,19,6,0,1,0,841,107,0,0,0,1,0,0,948,90,58,161,290,21,62,19,22,40,54,79,21,5
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Zaal Driehuis,0736::SB3,,2171,820,12,9,0,0,0,746,93,0,0,2,0,0,0,839,102,55,150,223,12,58,21,20,37,53,62,24,3
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Verenigingsgebouw Ons Streven,0736::SB4,,1115,535,8,3,0,0,0,493,53,0,0,0,0,0,0,546,40,25,94,233,7,28,8,26,9,16,34,14,1
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Springbok,0736::SB5,,746,404,5,2,0,0,0,370,41,0,0,0,0,0,0,411,30,33,62,189,3,22,8,12,17,7,11,9,1
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau voormalig De Hoeksteen,0736::SB6,,1479,728,19,4,0,0,0,666,85,0,0,0,0,0,0,751,74,58,133,209,20,42,16,17,28,41,67,17,6
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Veenlanden College,0736::SB7,,1563,812,13,5,0,0,0,754,76,0,0,0,0,0,0,830,120,51,185,209,17,34,16,32,33,35,49,26,5
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau OBS De Trekvogel,0736::SB8,,1993,944,21,3,0,0,0,867,104,0,3,0,3,0,0,971,105,79,215,221,13,43,35,21,50,52,72,25,13
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau OBS Molenland,0736::SB9,,2335,1133,25,12,0,0,0,1039,131,0,0,0,0,0,0,1170,121,75,235,337,24,62,50,21,45,55,74,27,7
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Zorgcentrum Maria Oord (Vinkenoord),0736::SB10,,1679,875,9,4,0,1,0,784,105,0,0,0,1,0,0,889,70,43,146,226,12,41,23,12,124,90,66,17,5
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau PCB Prinses Beatrix,0736::SB12,,1775,773,13,7,0,0,0,709,84,0,0,0,0,0,0,793,76,53,126,234,12,44,13,17,63,50,65,14,6
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau NH Verenigingsgebouw,0736::SB13,,1845,880,12,4,0,0,0,766,130,0,0,0,0,0,0,896,57,28,216,192,3,23,19,7,157,86,80,10,2
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau EHBO gebouw Lucas,0736::SB14,,1310,731,10,7,0,0,0,665,83,0,0,0,0,0,0,748,63,52,127,139,9,26,16,15,116,41,97,25,5
"Amstel, Gooi en Vecht",De Ronde Venen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Verzorgingstehuis Zuiderhof,0736::SB15,,2063,920,15,4,0,0,0,853,87,0,0,0,1,0,0,940,96,58,158,180,13,46,18,19,126,54,128,16,8
