contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Betaalbaar Water,ChristenUnie,VVD,50PLUS,Algemene Waterschapspartij (AWP),Partij voor Mens en Spirit (MenS),Partij voor de Dieren
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,"Stembureau Stadhuis, ontvangstruimte trouwzaal",0014::SB1,9712 HN,0,449,29,3,2,0,0,467,16,0,0,0,2,0,0,483,107,89,40,19,24,67,4,41,11,47
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Werkman College,0014::SB2,9711 VG,780,349,9,3,0,0,0,345,16,0,0,0,0,0,0,361,99,63,25,12,6,51,10,25,10,48
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Gemeente Groningen,0014::SB3,9713 GW,1486,394,18,0,0,0,1,396,15,0,0,0,0,0,0,412,87,79,24,28,23,60,11,32,11,39
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Gemeente Groningen,0014::SB4,9711 HL,0,229,10,0,0,0,0,214,25,0,0,0,0,0,0,239,63,54,14,6,17,30,3,10,5,27
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Het Pepergasthuis,0014::SB5,9711 PE,207,115,2,0,0,2,0,106,9,0,0,2,0,0,0,115,34,15,9,1,3,28,5,10,5,5
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau St. Michaelschool,0014::SB6,9712 EW,1,75,2,0,2,0,0,73,6,0,0,0,2,0,0,79,21,12,3,2,0,6,3,5,3,20
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Hanzehogeschool,0014::SB7,9711 EJ,0,61,3,0,0,0,0,59,5,0,0,0,0,0,0,64,18,11,5,2,1,10,3,3,1,7
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Harmoniecomplex R.U.G.,0014::SB8,9712 EK,194,278,22,1,0,0,0,295,6,0,0,0,0,0,0,301,64,49,18,8,19,48,3,32,4,33
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Remonstrantse kerk,0014::SB9,9711 BS,0,22,1,0,0,0,0,21,2,0,0,0,0,0,0,23,6,5,2,1,2,3,0,2,0,1
Noorderzijlvest,Groningen,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Activiteitencentrum De Holm,0014::SB10,9711 JS,483,158,9,0,0,2,0,161,9,0,1,0,3,0,0,170,42,30,9,6,11,26,4,9,3,18
