contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,"Groen, Water & Land",Boeren Burgers Waterbelang,Algemene Waterschapspartij,Gewest NH/U KNSB,Partij voor Mens en Spirit (MenS),50PLUS,ChristenUnie-SGP,Koninklijke Schuttevaer
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Verenigingsgebouw Sint Pieter,0420::SB1,1671 CS,1543,672,8,4,0,0,0,631,54,0,0,0,1,0,0,685,86,131,104,103,68,34,11,51,7,52,15,10
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Verzorgingshuis Sint Martinus,0420::SB2,1671 CS,1328,425,9,1,0,0,0,399,38,0,0,0,2,0,0,437,56,78,64,73,30,31,6,22,8,39,10,8
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Peuterspeelzaal Het Speelkasteel,0420::SB3,1671 KG,1440,522,9,2,0,0,0,480,52,0,0,1,0,0,0,532,68,91,66,81,53,31,25,27,7,46,19,8
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Sporthal De Muiter,0420::SB4,1671 JA,1220,481,8,6,0,0,0,444,51,0,0,0,0,0,0,495,77,62,40,77,54,36,13,20,6,51,37,8
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau OBS de Meridiaan,0420::SB5,1671 JZ,1203,321,6,5,0,0,0,295,37,0,0,0,0,0,0,332,43,32,51,51,35,28,16,12,2,35,9,7
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Woonzorgcentrum Koggenlandhuis,0420::SB6,1679 VH,1847,773,15,12,0,0,0,742,60,0,0,0,2,0,0,802,112,78,95,148,106,72,34,31,13,57,21,6
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Wijksteunpunt Woudrust,0420::SB7,1678 HK,714,338,4,2,0,0,0,316,23,0,0,5,0,0,0,339,91,25,42,42,48,43,10,21,1,12,2,1
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Dorpshuis  De Werf,0420::SB8,1691 EC,603,298,8,3,0,0,0,295,14,0,0,0,0,0,0,309,39,19,22,55,29,71,14,24,5,13,4,3
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Dorpshuis De Vang,0420::SB9,1654 KB,1331,595,6,3,0,0,0,530,74,0,0,0,0,0,0,604,71,57,50,148,50,121,17,19,7,42,10,3
Hollands Noorderkwartier,Medemblik,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Dorpshuis De Nieuwe Haven,0420::SB10,1657 AH,1865,818,22,1,0,0,0,840,0,0,0,0,0,0,0,840,224,67,56,138,69,118,24,39,8,48,18,9
