contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Socialistische Waterschapsvereniging,Partij voor de Dieren,Eigen Woning en Water !,Algemene Waterschapspartij,Recreatie Wonen en Water,ChristenUnie - SGP,50PLUS,De Groenen,Partij voor Mens en Spirit (MenS)
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Hervormde Kerk,1696::SB1,1243JG,1693,653,13,1,0,1,0,595,73,0,0,0,1,0,0,668,84,42,154,123,10,74,10,6,84,27,16,19,4
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Dobber,1696::SB2,1241CZ,1488,1195,25,7,0,4,0,1131,104,0,4,0,8,0,0,1235,141,98,205,326,26,89,16,14,167,38,35,28,12
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Veenstaete,1696::SB4,1241AX,1738,632,19,7,0,1,0,611,48,0,0,0,1,0,0,659,87,64,87,196,8,39,11,6,68,12,34,19,1
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Wapen van Ankeveen,1696::SB5,1244PK,1444,681,3,17,0,0,0,630,71,0,0,0,0,0,0,701,64,49,109,183,9,49,16,6,152,15,14,12,3
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Dirk's Sportcafé,1696::SB6,1241HD,1689,883,13,8,0,1,0,825,80,0,0,0,1,0,0,905,100,68,186,233,14,61,12,11,114,26,34,24,0
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Gemeentehuis,1696::SB7,1231KB,2011,922,10,4,1,2,0,840,93,0,0,3,0,0,0,933,94,63,236,127,9,70,16,13,170,53,29,35,7
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Emtinckhof,1696::SB8,1231BG,1755,1105,27,15,0,1,0,1040,108,0,0,0,1,0,0,1148,117,105,263,184,14,71,23,7,196,53,45,20,7
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Oude Pastorie,1696::SB10,1231KS,1766,807,11,4,0,0,0,706,116,0,0,0,0,0,0,822,89,45,285,109,3,23,14,3,158,42,27,6,3
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Catamaran,1696::SB11,1231PR,1575,630,5,3,0,2,0,552,88,0,0,0,2,0,0,640,43,28,207,60,6,29,19,2,182,25,15,9,5
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Kuijer,1696::SB13,1394EK,1642,912,7,4,0,0,0,845,78,0,0,0,0,0,0,923,84,66,136,226,5,31,19,9,278,14,25,15,4
"Amstel, Gooi en Vecht",Wijdemeren,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Herberg,1696::SB14,1394BL,1730,867,14,2,0,0,0,803,80,0,0,0,0,0,0,883,82,61,157,159,23,54,19,13,216,19,31,26,7
