contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gemeentehuis,1859::SB1,7271 AX,1179,723,14,4,0,0,0,685,57,0,1,0,1,0,0,742,106,54,55,72,361,13,22,24,16
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Zorgcentrum J.W. Andriessen,1859::SB2,7271 EZ,1273,670,13,3,0,0,0,638,48,0,0,0,0,0,0,686,82,40,70,69,342,5,14,25,23
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau School Noord,1859::SB3,7271 XH,1542,687,5,3,0,0,0,647,48,0,0,0,0,0,0,695,64,65,67,51,368,8,29,19,16
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau H.W. Heuvelschool,1859::SB4,7271 GD,1407,724,9,3,0,0,0,662,74,0,0,0,0,0,0,736,98,44,56,110,348,10,16,31,11
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kiezel en Kei School,1859::SB5,7271 HD,815,396,5,2,0,0,0,375,28,0,0,0,0,0,0,403,33,25,39,22,243,5,5,13,11
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpshuis De Zunnekamp,1859::SB6,7274 AX,1022,610,11,6,0,0,0,561,66,0,0,0,0,0,0,627,131,42,39,119,215,16,22,17,9
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Centrum de Klokslag,1859::SB7,7275 AH,521,296,3,2,0,0,0,274,27,0,0,0,0,0,0,301,81,32,21,53,66,24,2,16,1
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kulturhus 't Stieltjen,1859::SB8,7273 SL,570,368,6,2,0,0,0,349,27,0,0,0,0,0,0,376,62,31,25,39,130,26,11,37,7
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kerst Zwartschool,1859::SB9,7261 GH,1256,633,16,4,0,0,0,596,57,0,0,0,0,0,0,653,114,105,57,106,178,13,17,10,33
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Wooncentrum De Bundeling,1859::SB10,7261 BE,1224,697,11,5,0,1,0,656,58,0,0,0,1,0,0,714,132,130,52,112,184,22,31,13,21
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau OBS De Driesprong,1859::SB11,7261 SN,1074,477,3,8,0,0,0,489,0,0,0,0,1,0,0,489,157,68,26,121,73,6,9,8,9
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau CBS WonderWijs,1859::SB12,7260 AA,1344,581,12,5,0,2,0,549,51,0,0,0,2,0,0,600,91,105,71,46,204,20,21,13,10
Rijn en IJssel,Berkelland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Zalencentrum de Huve,1859::SB13,7151 BD,1728,842,7,2,0,0,0,769,82,0,0,0,0,0,0,851,153,42,60,86,386,31,9,51,24
