contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Algemene Waterschapspartij Delfland,Partij voor de Dieren,50PLUS,ChristenUnie-SGP
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Stadskantoor (Lunchkamer),0606::SB1,,1984,813,23,7,0,0,0,764,79,0,0,0,0,0,0,843,60,146,101,133,157,103,82,31
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Parochiecentrum De Wilgenburg,0606::SB2,,2864,575,9,8,0,0,0,534,58,0,0,0,0,0,0,592,77,116,58,56,97,101,49,21
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Station Schiedam Centrum,0606::SB3,,2101,708,22,9,0,0,0,670,69,0,0,0,0,0,0,739,55,150,79,67,138,134,54,31
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Stadskantoor (Klant Contact Centrum),0606::SB4,,1947,770,31,13,0,0,0,733,81,0,0,0,0,0,0,814,70,179,95,108,134,100,51,33
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wijkgebouw Kluphuis Oost,0606::SB5,,1948,460,6,6,0,0,0,429,45,0,2,0,2,0,0,474,32,109,37,23,88,84,62,25
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Openbare basisschool De Peperklip,0606::SB6,,2406,468,18,4,0,0,1,428,61,0,0,0,0,0,0,490,30,110,57,39,67,78,56,31
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Openbare basisschool De Gorzen,0606::SB8,,2578,837,15,10,0,0,0,821,41,0,0,0,0,0,0,862,69,137,68,126,163,151,104,19
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Bewonersvereniging Schiedam-Zuid,0606::SB10,,2222,633,24,12,0,0,0,592,77,0,0,0,0,0,0,669,53,111,43,52,137,112,113,12
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Zorgcentrum Frankeland,0606::SB11,,1946,769,15,6,0,0,0,718,72,0,0,0,0,0,0,790,117,123,72,140,121,92,72,32
Delfland,Schiedam,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wijkcentrum De Erker,0606::SB12,,2767,780,20,8,0,0,0,733,75,0,0,0,0,0,0,808,64,158,95,50,144,143,93,33
