contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau 01 Gemeentehuis,0489::SB1,2991 AA,1204,667,27,0,0,0,0,615,80,0,1,0,1,0,0,695,184,117,43,53,76,48,25,40,22,26,33
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau 02 Triomfatorkerk,0489::SB2,2991 CH,866,462,12,6,0,0,0,440,40,0,0,0,0,0,0,480,131,79,29,44,62,37,12,29,9,6,24
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau 03 trouwzaal De Watertoren,0489::SB3,2992 BE,1061,573,14,5,0,0,0,528,64,0,0,0,0,0,0,592,136,110,35,32,56,83,9,44,25,14,29
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau 04 Café ""'t Schaapje""",0489::SB4,2993 BG,1345,494,19,3,0,0,0,461,55,0,0,0,0,0,0,516,143,68,52,29,69,14,18,19,37,7,38
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau 05 basisschool ""De Draaimolen""",0489::SB5,2992 DN,1119,678,17,1,0,0,0,637,58,0,0,1,0,1,0,695,201,120,45,61,56,52,21,51,31,13,27
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau 07 Immanuelkerk,0489::SB7,2992 GG,1466,765,18,7,0,0,0,691,97,0,0,2,0,2,0,788,195,128,57,46,89,79,36,51,42,7,35
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau 08 Woonzorgcentrum ""Borgstede""",0489::SB8,2991 HP,1372,638,16,7,0,0,0,613,48,0,0,0,0,0,0,661,170,134,57,47,41,63,25,27,35,3,36
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau 09 Bethelkerk,0489::SB9,2992 SG,1567,696,3,20,0,1,0,652,66,0,0,1,0,0,0,718,179,122,31,39,42,153,15,54,25,11,25
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau 10 gebouw ""De Baerne""",0489::SB10,2991 GA,1327,711,12,8,0,0,0,653,78,0,0,0,0,0,0,731,192,131,51,51,68,76,22,41,26,11,42
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau 11 Basisschool ""De Tweemaster""",0489::SB11,2991 JN,1230,703,13,11,0,0,0,646,80,0,0,1,0,1,0,726,195,127,48,63,84,43,24,47,35,3,34
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau 12 Recreatieruimte ""De Boeg""",0489::SB12,2991 DL,1316,567,12,3,0,0,0,531,51,0,0,0,0,0,0,582,145,128,40,57,54,36,20,28,22,6,31
Hollandse Delta,Barendrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau 13 Dependance ""De Draaimolen""",0489::SB13,2992 GK,1870,642,17,7,0,0,0,588,78,0,0,0,0,0,0,666,172,114,49,50,94,40,22,25,25,15,36
