contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Raadhuis,0882::SB1,6371 LA,1315,789,24,5,0,0,0,730,88,0,0,0,0,0,0,818,569,18,73,27,11,6,35,50
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum De Dormig,0882::SB2,6371 XN,1002,365,0,0,0,0,0,365,0,0,0,0,0,0,0,365,266,8,29,6,4,7,24,21
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Ontmoetingsruimte A gen Bruk,0882::SB3,6371 HW,1224,441,19,5,0,0,0,419,46,0,0,0,0,0,0,465,296,16,78,3,2,1,27,18
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Parochiezaal Kerkplein,0882::SB11,6372 EZ,1520,716,14,8,0,0,0,664,74,0,0,0,0,0,0,738,534,22,66,19,5,4,33,33
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Ontmoetingsruimte A gen Maar,0882::SB12,6372 ER,1546,550,16,4,0,0,0,495,75,0,0,0,0,0,0,570,390,14,65,21,4,3,18,35
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Dr. Calshof,0882::SB22,6372 SP,1585,676,34,10,0,0,0,636,84,0,0,0,0,0,0,720,490,15,72,16,9,8,31,35
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau De Oefenbunker,0882::SB23,6371 HX,704,240,9,2,0,0,0,225,26,0,0,0,0,0,0,251,172,6,26,5,5,1,11,14
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool Harlekijn,0882::SB30,6372 AC,1209,387,6,6,0,0,0,354,45,0,0,0,0,0,0,399,267,14,44,8,2,7,23,22
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Parochiezaal St. Michael,0882::SB31,6372 VW,952,339,5,0,0,0,0,305,39,0,0,0,0,0,0,344,250,13,40,9,3,1,9,14
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 't Noaberhoes De Wendelwiek,0882::SB32,6372 VM,1367,482,19,4,0,0,0,441,64,0,0,0,0,0,0,505,321,12,83,7,10,6,15,28
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Buurthuis de Molt,0882::SB42,6371 EC,1488,499,34,10,0,0,0,489,54,0,0,0,0,0,0,543,313,15,62,24,8,11,40,26
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Harmoniezaal SUN-plein,0882::SB101,6373 LG,1107,380,12,3,0,0,0,351,44,0,0,0,0,0,0,395,280,11,36,8,6,3,17,19
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Bibliotheek Nieuwenhagen,0882::SB102,6373 JS,1467,380,13,5,0,0,0,346,52,0,0,0,0,0,0,398,292,12,46,6,1,4,12,7
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Scouting St. Tarcisius,0882::SB111,6373 CW,1525,558,20,2,0,0,0,506,74,0,0,0,0,0,0,580,394,12,84,8,5,5,28,22
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Ontmoetingscentrum Oude Heide,0882::SB112,6373 GJ,1643,609,21,7,0,0,0,587,50,0,0,0,0,0,0,637,466,16,60,4,3,4,26,30
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool 't Valder,0882::SB121,6373 TT,1648,581,25,5,0,0,0,532,80,0,1,0,1,0,0,612,385,6,77,11,5,10,47,40
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis 't Ströatje,0882::SB201,6374 KC,1381,504,36,10,0,0,0,484,66,0,0,0,0,0,0,550,376,11,56,12,6,2,26,15
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Heereveld,0882::SB202,6374 EN,999,375,20,2,0,0,0,366,29,0,0,0,0,0,0,395,261,19,31,7,8,7,23,19
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool De Wegwijzer,0882::SB203,6374 AR,1268,392,16,4,0,0,0,362,50,0,0,0,0,0,0,412,291,4,50,3,0,12,19,13
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool An d'r Put,0882::SB204,6374 HR,1117,464,19,2,0,0,0,425,60,0,0,0,0,0,0,485,346,18,56,5,3,2,18,16
Roer en Overmaas,Landgraaf,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Café d'r Sjtee Uul,0882::SB211,6374 GS,1584,530,16,6,0,0,0,482,70,0,0,0,0,0,0,552,383,17,71,10,5,6,14,24
