contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Gemeentehuis,0285::SB1,7391 KA,1076,707,13,8,0,0,0,728,0,0,0,0,0,0,0,728,95,21,94,16,25,154,186,48,68
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Dorpshuis Voorst,0285::SB2,7383 CG,848,399,6,0,0,0,0,373,32,0,0,0,0,0,0,405,51,18,56,3,28,65,59,31,88
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau 'De Benring',0285::SB3,7383 XC,1117,533,7,7,0,0,0,504,43,0,0,0,0,0,0,547,69,17,64,7,27,87,90,33,139
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Multifunctioneel Centrum 'De Pauw',0285::SB4,7382 CC,1028,495,6,6,0,0,0,455,52,0,0,0,0,0,0,507,44,12,59,7,21,166,90,22,74
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Vervallen,0285::SB5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Openb basisschool Wilp-Achterhoek,0285::SB6,7384 DE,717,374,9,0,0,0,0,339,44,0,0,0,0,0,0,383,31,17,21,14,14,128,66,19,64
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau 'Bethel',0285::SB7,7384 CS,874,293,5,0,0,0,0,276,22,0,0,0,0,0,0,298,19,14,32,2,20,69,78,15,44
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Dorpshuis 'de Pompe',0285::SB8,7384 BD,983,450,5,2,0,0,0,408,49,0,0,0,0,0,0,457,80,9,61,3,26,88,93,22,68
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Clubgebouw De Megafoon,0285::SB9,7392 AD,982,466,13,3,0,0,0,430,52,0,0,0,0,0,0,482,76,16,94,6,22,83,98,28,43
Vallei en Veluwe,Voorst,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Bibliotheek,0285::SB10,7391 DH,1396,612,13,8,0,0,0,591,42,0,0,0,0,0,0,633,115,22,67,11,47,154,79,45,72
