contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Lagere Lasten Burger,"Bedrijf, Boer en Burger",FNP,VVD,ChristenUnie,50PLUS,Partij voor de Dieren
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Menaam 1,1908::SB1,9036 MG,1214,712,2,4,0,0,0,661,57,0,0,0,0,0,0,718,110,96,109,80,36,133,76,19,20,33
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dronryp 1,1908::SB2,9035 AZ,1529,936,11,3,0,0,0,877,73,0,0,0,0,0,0,950,123,120,196,77,51,125,132,47,31,34
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dronryp 2,1908::SB3,9035 AJ,1097,513,16,6,0,0,0,495,40,0,0,0,0,0,0,535,65,71,128,49,44,67,44,19,10,16
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Berltsum 1,1908::SB4,9041 EC,1043,537,10,4,0,0,0,520,31,0,0,0,0,0,0,551,66,59,138,70,28,88,31,25,12,20
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Berltsum 2,1908::SB5,9041 AR,925,389,6,1,0,0,0,366,30,0,0,0,0,0,0,396,38,30,111,59,11,72,27,18,12,11
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Bitgum,1908::SB6,9044 MD,621,318,3,1,0,0,1,301,20,0,0,0,0,0,0,322,36,25,37,77,11,58,39,14,7,14
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Bitgummole,1908::SB7,9045 PE,719,364,9,1,0,0,0,351,23,0,0,0,0,0,0,374,44,39,53,42,24,73,36,21,10,22
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Marsum,1908::SB8,9034 GZ,846,478,4,1,0,0,0,440,43,0,0,0,0,0,0,483,53,108,31,60,28,80,45,12,21,40
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Deinum,1908::SB9,9033 WT,764,442,12,2,0,3,0,427,32,0,0,0,3,0,0,459,61,83,55,34,23,84,42,9,16,35
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Skingen,1908::SB10,8816 HT,146,92,2,1,0,0,0,90,5,0,0,0,0,0,0,95,24,21,8,9,10,8,4,1,2,5
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wier,1908::SB11,9043 VP,167,90,0,3,0,0,0,81,12,0,0,0,0,0,0,93,7,16,7,8,6,21,14,2,4,5
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Ingelum,1908::SB12,9038 TG,309,169,6,1,0,0,0,169,7,0,0,0,0,0,0,176,18,28,15,35,6,27,11,14,4,11
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Boksum,1908::SB13,9031 XW,386,240,3,1,0,0,1,227,16,0,0,0,0,0,0,244,34,30,37,31,13,48,16,6,4,21
Fryslân,Menameradiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Menaam 2,1908::SB14,9036 JC,901,437,13,8,2,0,0,432,28,0,0,0,2,0,0,460,43,77,85,51,15,77,32,23,20,14
