contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Sellingen  (Gemeentehuis),0048::SB1,9551 AB,1375,826,6,6,0,0,0,765,73,0,0,0,0,0,0,838,135,49,312,53,49,64,109,55
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Vlagtwedde (""De Bolderbörg"")",0048::SB2,9541 BW,1281,536,11,0,0,0,0,502,46,0,1,0,1,0,0,548,100,42,139,55,34,54,59,53
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Vlagtwedde (MFA 't Aambeeld),0048::SB3,9541 AX,1137,696,16,3,0,0,0,632,83,0,0,0,0,0,0,715,114,51,218,97,40,49,74,53
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Bourtange (""De Turfschuur"")",0048::SB4,9545 PH,646,312,4,2,0,0,0,281,37,0,0,0,0,0,0,318,51,32,71,31,16,28,49,34
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Jipsinghuizen (Buurthuis),0048::SB5,9551 TH,835,367,5,2,0,0,1,326,47,0,0,0,0,0,0,374,70,23,119,49,14,28,40,24
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Ter Apelkanaal (""D'Oale School"")",0048::SB6,9563 RD,840,333,4,0,0,0,0,312,25,0,0,0,0,0,0,337,45,33,107,25,11,48,28,36
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Ter Apel  (""'t Streekje"")",0048::SB7,9561 SC,1387,530,3,1,0,0,0,475,59,0,0,0,0,0,0,534,99,77,146,27,27,51,41,62
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Ter Apel (""Kloosterheerd"")",0048::SB8,9561 RD,992,381,13,4,0,0,0,372,26,0,0,0,0,0,0,398,74,48,105,23,18,33,22,58
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Ter Apel (Sporthalkantine),0048::SB9,9561 KD,1645,654,0,16,0,0,0,621,49,0,0,0,0,0,0,670,123,90,164,74,17,53,56,77
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Barnflair (""De Grensstreek"")",0048::SB10,9561 PC,854,345,7,1,0,0,0,308,45,0,0,0,0,0,0,353,79,24,93,19,11,38,37,44
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Ter Apel (""De Wilpskamp"")",0048::SB11,9561 TA,930,428,8,9,0,0,0,403,42,0,0,0,0,0,0,445,73,49,119,64,19,32,41,31
Hunze en Aa's,Vlagtwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Ter Apel (""Heemborgh"")",0048::SB12,9561 EP,1141,450,3,4,0,0,0,420,37,0,0,0,0,0,0,457,97,55,89,18,22,50,59,60
