contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Werken aan Water,VVD,Algemene Waterschapspartij,Tilburgse Volkspartij (TVP) & Ouderen Nu,50PLUS
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Het Raadhuis,0824::SB1,,1314,616,18,5,0,0,0,583,56,0,0,0,0,0,0,639,183,102,70,19,167,32,11,32
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Zorgcentrum De Vloet,0824::SB2,,1117,567,5,1,0,0,1,527,45,0,0,0,0,0,0,573,182,130,41,19,130,22,11,32
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Atelier De Krekul,0824::SB3,,1450,535,17,0,0,0,0,501,51,0,0,0,0,0,0,552,178,75,67,29,81,49,13,43
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool De Tovervogel,0824::SB4,,1196,580,10,3,0,0,0,538,55,0,0,0,0,0,0,593,165,105,49,15,183,23,9,31
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau De  Levenskerk/ De Luifel,0824::SB5,,1124,670,9,2,0,0,0,621,60,0,0,0,0,0,0,681,252,104,67,28,159,23,7,30
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Brede school De Bunders,0824::SB6,,1099,720,22,7,0,0,1,672,76,0,0,0,0,0,0,749,209,150,51,23,230,15,17,25
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Ontmoetingscentrum De Coppele,0824::SB7,,2149,783,28,18,0,0,0,759,70,0,0,0,0,0,0,829,278,101,114,41,84,57,22,86
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau 2College Durendael,0824::SB8,,1638,597,13,8,0,0,1,563,54,0,0,0,0,0,0,618,157,130,78,33,123,28,14,34
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool De Molenhoek,0824::SB9,,1645,511,14,4,0,0,0,480,49,0,0,0,0,0,0,529,147,79,72,29,98,37,19,30
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Wijkcentrum Pannenschuur,0824::SB10,,1907,741,16,8,0,0,0,706,58,0,0,1,0,1,0,764,257,109,115,33,104,51,16,56
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Kerkhovense Molen,0824::SB11,,1082,498,25,3,0,0,0,489,37,0,0,0,0,0,0,526,187,69,66,32,57,36,12,39
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Cult. centr. Den Boogaard,0824::SB12,,2489,1236,30,7,0,1,0,1131,141,0,0,1,0,0,0,1272,281,354,99,92,249,78,26,57
De Dommel,Oisterwijk,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Park Stanislaus,0824::SB13,,2374,809,35,18,0,0,0,860,0,0,0,2,0,2,0,860,172,199,66,36,192,54,19,71
