contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,"Groen, Water & Land",Boeren Burgers Waterbelang,Algemene Waterschapspartij,Gewest NH/U KNSB,Partij voor Mens en Spirit (MenS),50PLUS,ChristenUnie-SGP,Koninklijke Schuttevaer
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Ned. Herv. Weeshuis,0852::SB1,1141 BN,1592,888,18,4,0,2,0,818,94,0,0,0,2,0,0,912,137,154,87,150,108,21,146,27,11,19,14,14
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau zorgcentra Evean Swaensborch,0852::SB2,1141 VZ,1463,745,14,5,0,1,0,689,76,0,0,0,1,0,0,765,116,114,56,109,62,74,133,18,2,34,23,4
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau openbare basisschool De Fuut,0852::SB3,1141 JL,972,503,11,3,0,0,0,468,49,0,0,0,0,0,0,517,93,61,83,85,54,7,77,7,4,19,9,4
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Gemeentehuis,0852::SB4,1141 GV,1404,646,19,0,0,0,0,607,58,0,0,0,0,0,0,665,97,136,81,58,60,26,117,19,7,24,9,12
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Sociaal Cultureelcentrum De Bolder,0852::SB5,1141 SB,1200,700,20,5,0,0,0,656,69,0,0,0,0,0,0,725,128,76,79,127,91,17,119,12,9,30,5,7
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Karmac Bibliotheek,0852::SB6,1141 SE,1309,740,15,7,0,3,0,693,72,0,0,0,3,0,0,765,116,110,81,141,90,31,94,24,2,28,15,8
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Het Hart van Katwoude,0852::SB7,1145 PN,210,154,2,1,0,0,0,157,0,0,0,0,0,0,0,157,21,28,5,43,11,18,26,0,0,1,1,0
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Dorpshuis Het Trefpunt,0852::SB8,1156 BM,1481,820,13,4,0,2,0,727,112,0,0,0,2,0,0,839,109,334,44,81,51,25,90,26,1,20,28,11
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Karmac bibliotheek,0852::SB9,1151 AK,888,530,24,4,0,0,0,490,68,0,0,0,0,0,0,558,102,53,61,123,83,29,46,11,4,11,3,4
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau wijksteunpunt Broek in Waterland,0852::SB10,1151 CD,1103,591,23,4,0,0,1,544,73,0,0,0,0,0,0,618,90,68,59,110,87,32,71,24,7,18,14,11
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau obs De Overhaal,0852::SB11,1153 PD,339,218,2,8,0,0,0,204,24,0,0,0,0,0,0,228,43,22,15,34,39,30,7,13,3,5,7,0
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Dorpshuis Ilpendam,0852::SB12,1452 PR,1460,799,19,9,0,0,0,761,66,0,0,0,0,0,0,827,113,184,86,130,118,51,38,26,10,32,7,4
Hollands Noorderkwartier,Waterland,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Dorpshuis De Nieuwe Boet,0852::SB13,1454 AA,331,191,6,2,0,0,0,174,25,0,0,0,0,0,0,199,28,13,16,44,26,26,7,11,2,10,7,1
