contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeentehuis,0984::SB1,,1850,865,34,8,0,0,0,817,90,0,0,0,0,0,0,907,18,32,590,119,14,57,35
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau V.v. Gogh glazen huis,0984::SB2,,1696,620,21,7,0,1,0,582,67,0,0,0,1,0,0,649,17,11,424,93,5,41,29
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Verzorgingshuis Beukenrode,0984::SB3,,1622,656,24,4,0,0,0,608,76,0,0,0,0,0,0,684,17,17,491,78,10,26,17
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgcentrum het Schuttersveld,0984::SB4,,1699,623,5,22,0,0,0,603,47,0,0,0,0,0,0,650,11,22,460,56,9,43,22
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Wijkcentrum 't Stekske,0984::SB5,,2327,1054,38,9,0,0,2,964,135,0,0,0,0,0,0,1101,17,25,747,159,27,42,37
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Oostrum,0984::SB6,,1897,723,36,3,0,0,0,693,69,0,0,0,0,0,0,762,12,16,577,57,8,36,17
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Oirlo,0984::SB7,,985,465,10,3,0,0,0,423,55,0,0,0,0,0,0,478,14,25,375,27,0,22,2
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Castenray,0984::SB8,,608,269,1,0,0,1,0,239,30,0,0,1,0,0,0,269,6,35,190,20,5,3,10
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Cafe zaal 't Veule,0984::SB9,,393,181,14,0,0,0,0,170,25,0,0,0,0,0,0,195,4,14,121,15,1,15,11
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau MFC Leunen,0984::SB10,,1773,769,33,1,0,0,0,706,97,0,0,0,0,0,0,803,27,28,564,79,11,37,23
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Heide,0984::SB11,,385,228,7,2,0,0,0,203,34,0,0,0,0,0,0,237,7,8,154,29,4,13,13
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Ysselsteyn,0984::SB12,,1756,744,36,6,0,0,0,654,132,0,0,0,0,0,0,786,44,35,546,44,5,45,25
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Partycentrum 't Anker,0984::SB13,,863,403,10,1,0,1,0,364,51,0,0,0,1,0,0,415,21,12,294,39,3,19,15
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Vredepeel,0984::SB14,,175,92,3,1,0,0,0,84,12,0,0,0,0,0,0,96,15,7,58,3,0,7,2
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau 't Pelgrimshuis,0984::SB15,,181,78,5,0,0,0,0,68,15,0,0,0,0,0,0,83,1,4,57,9,0,5,2
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Vincent van Goch centrumgebouw,0984::SB16,,1901,638,23,6,0,0,0,580,87,0,0,0,0,0,0,667,11,17,433,94,8,46,29
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Sportcentrum de Sprank,0984::SB17,,1945,930,42,12,0,0,1,866,117,0,0,0,0,0,0,984,10,19,645,118,15,89,34
Peel en Maasvallei,Venray,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau WOC 't Schopke,0984::SB18,,1639,742,28,6,0,0,0,710,66,0,0,0,0,0,0,776,11,17,554,88,17,31,24
