contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Streekmuseum De Oude Wolden,0007::SB1,9695 AE,519,296,5,5,0,0,0,272,34,0,0,0,0,0,0,306,91,26,27,37,12,20,47,36
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Steunstee Reiderstee,0007::SB2,9695 GD,1048,369,14,6,0,0,0,347,42,0,0,0,0,0,0,389,120,48,36,41,4,25,49,46
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Brandweerkazerne,0007::SB3,9695 BA,767,383,4,0,0,0,0,354,33,0,0,0,0,0,0,387,106,44,39,66,11,39,41,37
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Buurthuis De Brug,0007::SB4,9695 CJ,543,257,13,3,0,0,0,251,22,0,0,0,0,0,0,273,76,16,19,37,8,21,48,32
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Kerkje,0007::SB5,9696 XN,144,106,3,2,0,0,0,103,8,0,0,0,0,0,0,111,26,10,6,32,2,3,18,9
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Buurthuis 't Ganzenust,0007::SB6,9699 SE,672,330,9,1,0,0,0,328,12,0,0,0,0,0,0,340,81,44,41,43,23,26,40,32
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau MFA Ons Noabershoes,0007::SB7,9566 PL,544,246,10,0,0,0,0,236,20,0,0,0,0,0,0,256,68,29,37,9,7,24,46,26
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Blanckenbörg,0007::SB8,9697 RJ,816,351,8,2,0,0,0,343,18,0,0,0,0,0,0,361,115,53,37,40,9,30,24,43
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau c.b.s. De Loopplank,0007::SB9,9697 NS,402,223,10,3,0,0,0,206,30,0,0,0,0,0,0,236,47,19,41,41,10,16,18,31
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Gemeentehuis,0007::SB10,9698 AE,875,459,8,3,0,0,0,431,39,0,0,0,0,0,0,470,110,73,58,67,14,35,61,41
Hunze en Aa's,Bellingwedde,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Zalencentrum Het Oude Wapen,0007::SB11,9697 NL,1220,602,7,6,0,0,0,567,48,0,0,0,0,0,0,615,155,62,92,95,22,28,50,98
