contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Gemeentehuis,0642::SB1,3331 BT,1712,886,23,8,0,0,0,818,99,0,0,0,0,0,0,917,205,101,81,57,117,100,32,84,49,18,42
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Woonzorgcentrum De Lindonk,0642::SB2,3332 AE,1758,509,11,3,0,0,0,480,43,0,0,0,0,0,0,523,127,107,54,33,58,27,13,37,31,11,11
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau P.V. Steeds Sneller,0642::SB3,3332 BA,2030,449,5,3,0,0,0,405,52,0,0,0,0,0,0,457,122,68,32,29,81,25,14,18,40,9,11
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau Kinderdagcentrum ""Ons Blije Honck""",0642::SB4,3332 SG,1574,644,20,1,0,0,0,601,64,0,0,0,0,0,0,665,160,94,55,45,72,51,24,66,28,17,32
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau Walburgcollege ""Theater""",0642::SB5,3332 CS,1530,589,14,4,0,0,0,558,49,0,0,0,0,0,0,607,167,79,44,33,81,28,22,54,42,16,23
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Woonzorgcentrum Nebo,0642::SB6,3332 KM,1122,718,9,7,0,0,0,643,91,0,0,0,0,0,0,734,120,110,27,26,47,263,13,93,15,0,4
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Capital Sports (De Lus/Eemzon),0642::SB7,3332 NA,1267,529,19,3,0,0,0,513,38,0,0,0,0,0,0,551,142,97,50,29,38,50,7,40,41,12,23
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Zorgcentrum De Lichtkring,0642::SB8,3332 AS,1646,718,19,6,0,0,0,676,70,0,0,0,0,0,0,746,177,131,53,27,87,66,27,81,33,11,25
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau School De Dolfijn,0642::SB9,3331 HW,1671,351,13,0,0,0,0,324,40,0,0,0,0,0,0,364,106,41,34,19,31,32,9,31,25,11,12
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wijkcentrum Xiejezo,0642::SB10,3331 TB,1430,452,13,4,0,0,0,421,48,0,0,0,0,0,0,469,127,66,51,21,25,37,14,48,21,19,23
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wijgebouw De Wentelwiek,0642::SB11,3331 KA,1028,479,5,2,0,0,0,429,57,0,0,0,0,0,0,486,99,79,29,42,57,82,13,41,14,12,11
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau School De Dolfijn,0642::SB12,3333 AL,1802,402,25,3,0,0,1,390,39,0,0,0,0,0,0,430,89,46,36,23,28,38,15,49,39,12,27
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau Vogelvereniging ""Ons Genoegen""",0642::SB13,3333 BS,1767,553,18,1,0,0,0,514,58,0,0,0,0,0,0,572,176,69,58,38,34,25,20,61,31,16,25
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Zorgcentrum Swinhove,0642::SB14,3333 GZ,1611,525,15,8,0,0,0,481,67,0,0,0,0,0,0,548,143,90,35,38,55,18,23,51,28,27,17
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wijkcentrum Kubiek,0642::SB15,3334 XN,1944,683,12,11,0,0,0,654,52,0,0,0,0,0,0,706,187,88,56,59,59,33,20,52,49,21,59
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Voormalig John F. Kennedey school,0642::SB16,3334 SB,1777,648,10,5,0,0,0,598,65,0,0,0,0,0,0,663,172,92,65,38,74,33,38,41,49,19,27
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau School De Twee Wieken,0642::SB17,3334 EH,1778,877,23,6,0,0,0,814,92,0,0,0,0,0,0,906,262,110,76,75,105,35,38,75,49,13,39
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Sportcomplex De Hoge Devel,0642::SB18,3335 LM,1532,562,10,5,0,0,0,506,71,0,0,0,0,0,0,577,161,76,37,45,58,17,30,52,49,13,24
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wijkcentrum 't Klankbord,0642::SB19,3335 DE,1735,862,22,2,0,0,0,804,82,0,0,0,0,0,0,886,236,138,76,54,107,37,28,72,72,12,30
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau School De Notenbalk,0642::SB20,3335 DD,1991,768,18,5,0,0,0,696,95,0,0,0,0,0,0,791,236,90,47,50,139,35,22,69,18,22,40
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Gemeentehuis Heerjansdam,0642::SB21,2995 XD,1347,548,4,2,0,0,0,502,52,0,0,0,0,0,0,554,314,40,28,52,46,11,15,17,12,3,10
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Multifunctioneel gebouw RaJuBiBos,0642::SB22,2995 ZG,1670,834,6,2,0,0,0,763,79,0,0,0,0,0,0,842,537,53,24,41,57,33,40,22,11,2,14
Hollandse Delta,Zwijndrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau NS-station Zwijndrecht,0642::SB23,,0,469,15,11,0,0,0,453,42,0,0,0,0,0,0,495,125,53,49,48,41,24,24,43,24,13,25
