contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Socialistische Waterschapsvereniging,Partij voor de Dieren,Eigen Woning en Water !,Algemene Waterschapspartij,Recreatie Wonen en Water,ChristenUnie - SGP,50PLUS,De Groenen,Partij voor Mens en Spirit (MenS)
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Gemeentehuis,0406::SB1,1276 KB,1340,919,24,14,0,0,0,851,106,0,0,0,0,0,0,957,145,81,187,180,19,75,21,8,26,106,42,20,9
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Beatrixschool,0406::SB2,1272 BP,1686,845,16,4,0,0,0,772,94,0,1,0,1,0,0,866,130,53,152,202,6,54,12,13,16,143,41,14,9
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Plankenierstheater,0406::SB3,1272 PB,842,542,16,5,0,0,0,473,90,0,0,0,0,0,0,563,105,24,288,47,0,32,4,6,6,14,10,6,0
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Voor Anker,0406::SB4,1272 KV,1575,1032,8,3,0,0,0,939,104,0,0,0,0,0,0,1043,126,39,218,275,18,39,20,10,15,215,29,25,3
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Wijngaard,0406::SB5,1271 LP,1581,648,16,7,0,0,0,612,59,0,0,0,0,0,0,671,100,61,111,123,10,63,9,8,16,86,34,21,6
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Brassershoeve,0406::SB6,1271 RP,1754,864,17,0,0,0,0,781,100,0,0,0,0,0,0,881,136,44,169,189,13,47,23,7,15,161,26,27,7
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Rehobothschool,0406::SB7,1276 NA,1199,661,4,6,0,0,0,607,63,0,0,1,0,0,0,670,77,26,118,175,6,35,20,14,14,143,22,6,5
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Plechtanker,0406::SB8,1276 HG,1325,560,15,2,0,0,0,527,50,0,0,0,0,0,0,577,90,72,65,118,24,40,13,3,16,57,41,17,4
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Bolder,0406::SB9,1276 BB,1911,788,23,8,0,0,0,756,64,0,1,0,1,0,0,820,126,79,88,177,14,52,20,12,12,146,42,13,7
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Wijkcentrum Holleblok,0406::SB10,1273 EG,1308,678,13,4,0,1,0,635,61,0,0,0,1,0,0,696,126,63,110,105,20,55,10,10,19,66,57,29,8
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Schoolgebouw Holleblok,0406::SB11,1273 EG,1193,652,14,2,0,0,1,618,49,0,0,0,0,0,0,668,137,68,119,84,18,59,17,12,10,69,38,20,1
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Schoolgebouw Amer,0406::SB12,1274 RZ,1355,472,6,2,0,0,0,442,39,0,0,0,1,0,0,481,96,48,77,69,17,37,6,10,20,39,31,16,6
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Meentkerk (rechts),0406::SB13,1274 RZ,1394,614,16,8,0,0,0,595,43,0,0,0,0,0,0,638,108,56,93,101,16,70,19,8,19,58,37,23,6
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Rustmaat,0406::SB14,1273 JS,1865,886,25,10,0,0,0,852,68,0,0,1,0,1,0,920,183,90,149,166,26,51,28,14,17,68,58,26,10
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Gouden Kraal,0406::SB15,1275 AB,1757,809,26,4,0,0,0,759,80,0,0,0,0,0,0,839,168,86,115,117,29,55,23,17,27,70,52,43,7
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Wijkcentrum,0406::SB16,1274 NS,1272,351,8,4,0,0,2,339,22,0,0,0,0,0,0,363,71,43,40,54,14,43,7,5,4,29,29,5,7
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Goede Herderkerk,0406::SB17,1272 JR,1119,742,26,1,0,0,0,681,88,0,0,0,0,0,0,769,124,44,278,156,3,37,10,10,17,38,11,11,3
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Basisschool De Ark,0406::SB18,1274 KL,1953,605,15,6,0,0,0,577,49,0,0,0,0,0,0,626,89,71,89,110,18,30,17,13,18,98,29,18,5
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Surfclub Gooimeer,0406::SB19,1271 ER,1460,672,9,5,0,0,0,632,54,0,0,0,0,0,0,686,145,77,138,95,18,34,14,9,23,43,49,21,6
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Tweemaster,0406::SB20,1276 GP,1434,562,14,2,0,0,0,527,51,0,0,0,0,0,0,578,111,72,88,115,9,47,9,11,18,40,17,19,6
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Meentkerk (links),0406::SB21,1274 RZ,1068,460,14,0,0,0,1,432,41,0,0,0,0,0,0,474,95,42,64,58,18,50,22,7,12,35,36,19,2
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Schoolwoning,0406::SB22,1277 CH,1125,579,14,1,0,0,0,564,31,0,0,0,1,0,0,595,114,68,129,72,6,39,19,10,17,47,32,23,3
"Amstel, Gooi en Vecht",Huizen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Springplank,0406::SB23,1277 AV,828,613,13,3,0,0,0,569,60,0,0,0,0,0,0,629,87,73,178,85,1,36,26,11,11,53,30,19,3
