contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,VVD,50PLUS
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeentehuis,1684::SB1,5431 BV,1222,826,29,10,0,0,0,769,96,0,0,0,0,0,0,865,142,157,84,286,128,29
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Zorgcentrum Maartenshof,1684::SB2,5431 DP,1165,444,20,6,0,0,0,432,38,0,0,0,0,0,0,470,114,59,41,130,77,23
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau 't Akkertje,1684::SB3,5434 PA,1005,405,11,2,0,1,0,378,41,0,0,0,1,0,0,419,100,63,41,125,52,24
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Café van Kempen,1684::SB4,5433 KA,337,188,7,0,0,0,0,178,17,0,0,0,0,0,0,195,52,32,14,49,29,12
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau De Agaat,1684::SB5,5435 XJ,414,213,3,1,0,0,0,196,21,0,0,0,0,0,0,217,57,71,17,42,23,3
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Parochiezaal,1684::SB6,5431 AV,1306,507,8,6,0,0,1,463,57,0,0,0,0,0,0,521,52,76,65,254,27,33
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Nevenvestiging Merletcollege,1684::SB7,5431 ZN,1459,361,14,4,0,0,0,350,30,0,1,0,1,0,0,380,54,83,52,132,18,22
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Het Doehuis,1684::SB8,5431 JR,1612,641,17,7,0,4,0,622,47,0,0,0,4,0,0,669,77,161,93,203,53,54
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau OBS Harlekijn,1684::SB9,5431 KJ,1356,602,13,6,0,0,0,561,60,0,0,0,0,0,0,621,86,133,82,179,82,40
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau De Nielt,1684::SB10,5432 DW,1643,679,20,2,0,0,0,660,41,0,0,0,0,0,0,701,115,114,79,218,109,44
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau basisschool De Waai (bureau 1),1684::SB11,5432 DH,1607,543,15,6,0,0,0,500,64,0,0,0,0,0,0,564,77,68,78,197,89,34
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau sporthal De Kloosterhof,1684::SB12,5437 AS,1366,656,13,15,0,0,0,607,76,0,0,1,0,1,0,683,275,103,38,119,87,34
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau De Burcht,1684::SB13,5439 ND,218,128,9,5,0,0,0,125,17,0,0,0,0,0,0,142,27,18,16,27,29,11
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau sporthal De Stappert (bureau 1),1684::SB14,5443 BE,1148,585,6,5,0,1,0,541,56,0,0,0,1,0,0,597,102,53,29,331,53,17
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Hof van Cuijk,1684::SB15,5431 EZ,1052,381,1,10,0,0,0,348,44,0,0,0,0,0,0,392,104,69,31,80,58,39
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau basisschool De Waai (bureau 2),1684::SB16,5432 DH,1613,532,16,9,0,0,0,511,46,0,0,0,0,0,0,557,80,80,50,183,113,26
Aa en Maas,Cuijk,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Sporthal De Stappert (bureau 2),1684::SB17,5443 BE,1146,582,9,1,0,0,0,528,64,0,0,0,0,0,0,592,122,47,23,336,44,10
