contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,ChristenUnie-SGP,Partij voor de Dieren,Partij voor Mens en Spirit (MenS),50PLUS
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Gemeentehuis,0575::SB1,2201 HW,1260,809,27,7,0,0,0,747,96,0,0,0,0,0,0,843,165,266,115,82,56,27,56,11,31
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Vinkenhof,0575::SB2,2201 EM,1401,625,14,3,0,3,0,588,57,0,0,0,3,0,0,645,175,157,65,58,39,33,52,12,34
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Woonzorgcentrum Jeroen,0575::SB3,2201 KS,1670,657,11,9,0,0,0,616,61,0,0,0,0,0,0,677,129,141,73,109,54,32,54,9,56
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau De Wieken,0575::SB4,2201 RD,1967,787,10,9,0,0,1,748,57,0,0,0,0,0,0,806,163,156,95,100,72,42,76,18,65
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Nortgho Sporthal,0575::SB5,2203 HM,1424,701,16,4,0,1,0,660,62,0,0,0,1,0,0,722,130,145,109,101,63,36,46,18,53
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau De Schapendel,0575::SB6,2203 GH,1496,666,8,3,0,0,0,615,62,0,0,0,0,0,0,677,149,151,81,97,56,30,56,9,37
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Pastorie Hoofdstraat,0575::SB7,2202 GD,1299,610,12,3,0,0,0,531,94,0,0,0,0,0,0,625,94,344,39,36,37,8,29,6,17
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Het Trefpunt,0575::SB8,2202 HJ,1481,573,13,4,0,0,0,530,60,0,0,0,0,0,0,590,107,191,56,62,36,30,47,9,35
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Zeehonk,0575::SB9,2202 KB,1332,531,0,17,0,0,0,485,63,0,0,0,0,0,0,548,96,142,66,76,35,26,46,7,37
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wakersduin,0575::SB10,2202 SP,1130,564,20,7,0,0,0,548,43,0,0,0,0,0,0,591,119,138,77,75,38,18,49,6,44
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Woonzorgcentrum Groot Hoogwaak,0575::SB11,2202 TG,1343,607,12,6,0,0,0,570,55,0,0,0,0,0,0,625,144,149,75,59,43,30,43,10,54
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau De Witte Raaf,0575::SB12,2204 AT,392,198,4,2,0,0,0,180,24,0,0,0,0,0,0,204,65,77,12,9,9,5,15,1,5
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau De Jutter,0575::SB13,2201 XP,935,397,9,4,0,0,0,371,40,0,1,0,1,0,0,411,73,105,49,55,37,27,28,4,19
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Hoffenne,0575::SB14,2201 WN,1727,766,20,12,0,0,1,707,90,0,0,0,0,0,0,798,143,166,97,116,78,32,88,10,36
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Sportpark SJC,0575::SB15,2201 TV,1316,491,19,0,0,0,0,427,83,0,0,0,0,0,0,510,99,179,45,47,38,25,23,7,28
Rijnland,Noordwijk,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Noordwijkerduin,0575::SB16,2201 AC,679,126,1,2,0,0,0,120,9,0,0,0,0,0,0,129,26,32,11,9,5,16,20,0,7
