contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,VVD,50PLUS
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeentehuis Oss,0828::SB1,5341 GM,1439,871,25,1,0,0,0,805,94,0,2,0,2,0,0,899,163,211,137,90,125,145
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Centraal Station,0828::SB2,,1309,684,28,3,0,0,1,664,50,0,0,0,0,0,0,715,119,186,119,77,109,74
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Het Hooghuis, locatie De Singel",0828::SB3,5348 TH,3761,904,20,11,0,3,0,823,115,0,0,0,3,0,0,938,132,249,124,110,82,207
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Basisschool De Nieuwe Link,0828::SB4,5348 AH,2736,898,14,9,0,0,0,821,103,0,0,0,3,0,0,924,188,190,119,90,111,200
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Sociëteit Krinkelhoek,0828::SB5,5346 SN,3522,976,43,8,0,0,1,914,113,0,0,1,0,0,0,1028,210,215,133,117,131,170
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Steunpunt De Brink,0828::SB6,5341 AX,1864,606,11,4,0,0,0,554,67,0,0,0,0,0,0,621,120,176,90,60,48,112
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Stembureau Centrum,0828::SB7,,1011,432,4,15,0,0,0,410,41,0,0,0,0,0,0,451,81,118,52,56,56,69
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Bernadetteschool,0828::SB8,5342 AH,1265,346,18,4,0,0,0,330,38,0,0,0,0,0,0,368,48,113,68,24,29,64
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Titus Brandsma Parochie,0828::SB9,5342 GC,1353,529,29,5,0,0,0,518,45,0,0,0,0,0,0,563,76,157,90,68,77,61
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau RK Basisschool Pius X,0828::SB10,5342 GH,1858,752,26,12,0,0,0,706,84,0,0,0,0,0,0,790,174,161,92,61,144,120
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Mondriaan College,0828::SB11,5342 CN,1460,690,20,6,0,0,0,608,108,0,0,0,0,0,0,716,166,113,54,36,250,71
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Het Hooghuis, locatie Oss-West",0828::SB12,5343 VC,1650,461,15,2,0,0,0,431,47,0,0,0,0,0,0,478,68,138,91,53,35,76
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau D'n Iemhof,0828::SB13,5344 AN,2678,1062,31,12,0,0,0,991,114,0,0,0,0,0,0,1105,237,289,145,104,127,160
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Kinderboerderij De Elzenhoek,0828::SB14,5344 TX,2031,577,17,6,0,0,0,541,59,0,0,0,0,0,0,600,98,178,98,58,54,91
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau SV Ruwaard,0828::SB15,5344 KW,1920,670,12,6,0,0,0,619,69,0,0,0,0,0,0,688,135,212,76,67,61,119
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Horizonschool De Komeet,0828::SB16,5344 GK,2157,602,23,3,0,0,0,548,80,0,0,0,0,0,0,628,112,159,80,65,46,140
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Rode Kruisgebouw,0828::SB17,5345 AA,1750,622,18,3,0,1,0,569,73,0,0,1,0,0,0,642,110,155,105,80,93,79
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Basisschool De Korenaer,0828::SB18,5345 TA,2852,1294,29,6,0,0,1,1186,135,0,0,7,0,7,0,1322,244,397,176,144,166,167
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau St. Wijkcentrum De Hille,0828::SB19,5345 WB,2913,1151,49,7,0,0,0,1100,107,0,0,0,0,0,0,1207,222,345,154,135,116,179
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Basisschool De Lockaert,0828::SB20,5345 JG,2891,1150,29,14,0,0,0,1065,128,0,0,0,0,0,0,1193,216,265,161,129,206,173
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Openbare Basisschool Mettegeupel,0828::SB21,5346 JD,3550,1384,31,13,0,0,1,1236,191,0,0,0,0,0,0,1428,269,294,165,197,288,171
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau St. Gemeenschapshuis Acropolis,0828::SB22,5366 BE,1272,602,0,15,0,0,0,552,65,0,0,0,0,0,0,617,190,146,70,55,80,61
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis Haren,0828::SB23,5368 AM,577,296,7,0,0,0,0,267,36,0,0,0,0,0,0,303,141,48,20,17,36,34
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis De Bongerd,0828::SB24,5367 AA,600,265,9,2,0,0,0,249,27,0,0,0,0,0,0,276,87,69,17,25,35,32
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis Vidi Reo,0828::SB25,5371 AX,2879,1448,37,8,0,0,0,1319,174,0,0,0,0,0,0,1493,667,294,142,75,180,90
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Dorpshuis 't Slotje,0828::SB26,5373 BC,2269,961,17,13,0,0,3,885,103,0,0,0,0,0,0,991,283,145,69,38,357,69
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis Onder d'n Plag,0828::SB27,5371 KL,810,429,10,2,0,0,0,389,52,0,0,0,0,0,0,441,206,69,32,19,82,21
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Parochiezaal St. Antonius Abt,0828::SB28,5371 PW,561,271,1,4,0,0,0,242,34,0,0,0,0,0,0,276,133,37,13,6,79,3
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis De Berchplaets,0828::SB29,5351 BZ,3542,1479,36,14,0,0,0,1337,192,0,0,0,0,0,0,1529,364,394,125,105,299,192
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Zalencentrum De Merx,0828::SB30,5351 AR,3993,1112,16,4,0,0,0,988,144,0,0,0,0,0,0,1132,283,297,83,85,247,117
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis De Hoeve,0828::SB31,5397 BJ,2346,907,17,9,0,0,0,808,125,0,0,0,0,0,0,933,214,156,71,298,103,65
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis Avanti,0828::SB32,5396 PN,840,422,16,5,0,0,0,363,80,0,0,0,0,0,0,443,182,47,28,74,52,39
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis De Schaapskooi,0828::SB33,5394 AH,937,437,9,3,0,0,0,393,56,0,0,0,0,0,0,449,167,70,21,70,58,51
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschaphuis De Nolder,0828::SB34,5398 HK,1086,468,13,1,0,0,0,395,87,0,0,0,0,0,0,482,179,77,21,66,81,44
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Mobiel stembureau 1,0828::SB35,,179,91,3,1,0,0,0,87,8,0,0,0,0,0,0,95,30,20,14,6,6,15
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Mobiel stembureau 2,0828::SB36,,194,140,4,0,0,0,0,137,7,0,0,0,0,0,0,144,54,14,23,6,10,33
Aa en Maas,Oss,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau De Gouden Leeuw,0828::SB37,5386 AK,3617,1319,38,7,0,2,0,1133,229,0,0,2,0,0,0,1362,481,253,111,128,214,132
