contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Lokale Regiobelangen Rivierenland,Algemene Waterschapspartij,Staatkundig Gereformeerde Partij (SGP),VVD,ChristenUnie,Huiseigenaren,Partij voor de Dieren,PSP'92 Rivierenland,50PLUS
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Raadhuis Werkendam,0870::SB1,4251 VZ,1795,887,13,1,0,0,0,741,160,0,0,0,0,0,0,901,202,36,34,42,27,310,36,138,13,13,4,32
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Zorgcentrum Goezate,0870::SB2,4251 VS,1849,744,2,6,0,0,0,615,137,0,0,0,0,0,0,752,171,18,44,28,15,282,32,102,19,15,0,18
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Kwinter,0870::SB3,4251 HE,1703,814,6,8,0,0,0,661,167,0,0,0,0,0,0,828,125,22,37,26,20,371,42,101,22,21,5,22
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Grote zaal der Chr.Ger. kerk,0870::SB4,4251 DG,1467,656,4,3,0,0,0,541,122,0,0,0,0,0,0,663,141,18,30,36,8,223,58,113,8,10,1,10
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau wooncomplex d'Altenaer,0870::SB5,4251 TW,1653,728,11,2,0,0,0,601,140,0,0,0,0,0,0,741,175,20,31,26,10,313,31,85,9,13,4,11
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Het Trefpunt ingang Ontmoetingskerk,0870::SB6,4254 CC,1236,624,14,4,0,0,0,582,60,0,0,0,0,0,0,642,222,44,42,71,31,21,48,74,22,19,4,26
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Klimroos,0870::SB7,4254 XT,1294,633,9,2,0,0,0,579,65,0,0,0,0,0,0,644,220,46,33,74,31,31,77,58,24,10,4,25
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Bolderik,0870::SB8,4254 EP,1654,866,22,4,0,0,0,801,91,0,0,0,0,0,0,892,222,81,81,88,45,31,114,113,33,45,3,10
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Steunpunt,0870::SB9,4255 HJ,1434,497,2,4,0,0,0,451,52,0,0,0,0,0,0,503,238,20,48,37,22,11,18,56,6,21,2,18
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Tavenu,0870::SB10,4255 HD,1399,766,4,6,0,0,0,679,97,0,0,0,0,0,0,776,299,44,79,72,34,29,65,72,26,35,2,9
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Gereformeerde Kerk De Hoeksteen,0870::SB11,4271 AN,892,453,5,3,0,0,0,402,59,0,0,0,0,0,0,461,117,26,21,68,33,27,58,69,11,14,2,7
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau de Molenwiek,0870::SB12,4271 XA,1073,414,6,2,0,0,0,376,46,0,0,0,0,0,0,422,124,29,20,74,34,10,33,35,17,21,1,16
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Steunpunt Den Dotter,0870::SB13,4273 CG,1542,641,3,2,0,0,0,584,62,0,0,0,0,0,0,646,162,65,56,121,54,5,67,20,23,34,10,24
Rivierenland,Werkendam,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau basisschool de Bolderik,0870::SB14,4273 ET,1595,712,1,19,1,0,0,666,66,0,0,0,0,0,0,732,166,60,57,144,101,2,85,11,37,27,3,19
