contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Albertusgebouw,1955::SB1,6942 BE,1602,753,12,4,0,0,0,719,50,0,0,0,0,0,0,769,184,228,71,82,8,114,20,3,43
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau De Ziep,1955::SB2,6941 BH,1573,667,10,1,0,0,0,612,66,0,0,0,0,0,0,678,157,256,55,55,7,86,20,5,26
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Albert Schweitzerschool,1955::SB3,6942 VA,1826,787,16,3,0,0,0,739,67,0,0,0,0,0,0,806,167,291,65,76,8,89,41,7,43
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Cafe-restaurant Uniek,1955::SB4,6942 EA,2255,952,29,7,0,0,0,900,90,0,2,0,2,0,0,990,235,304,79,124,15,113,36,4,42
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gemeentehuis,1955::SB5,6942 GK,1875,510,7,1,0,0,0,467,51,0,0,0,0,0,0,518,146,141,48,56,7,59,15,1,37
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Verenigingsgebouw de Zomp,1955::SB6,6941 DM,1364,660,8,4,0,0,0,619,53,0,0,0,0,0,0,672,166,365,19,49,2,37,10,2,10
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Verenigingsgebouw de Meikever,1955::SB7,6942 HD,1448,608,14,0,0,0,0,542,80,0,0,0,0,0,0,622,214,160,28,77,5,85,13,4,22
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gouden Handen,1955::SB8,7041 AV,2144,920,17,1,0,0,0,837,101,0,0,0,0,0,0,938,252,101,95,92,21,45,246,3,65
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau het Willem van den Berghcentrum,1955::SB9,7041 CW,1625,582,15,5,0,0,0,537,65,0,0,0,0,0,0,602,192,77,56,59,9,34,119,4,32
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woningstichting Bergh,1955::SB10,7041 GL,1588,541,9,2,0,1,0,502,49,0,0,1,0,0,0,551,127,101,74,49,15,32,103,9,31
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpshuis Lengel,1955::SB11,7044 AP,1337,469,12,3,0,2,0,431,51,0,0,2,0,0,0,482,150,64,44,48,13,26,87,4,33
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpshuis Zeddam,1955::SB12,7038 BX,904,685,8,4,0,0,0,640,57,0,0,0,0,0,0,697,225,98,78,102,10,44,82,6,40
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kantine voetbalvereniging Stokkum,1955::SB13,7039 CM,921,413,11,2,0,0,0,379,47,0,0,0,0,0,0,426,206,48,30,34,6,25,46,0,18
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpshuis De Braempt,1955::SB14,,1001,470,5,2,0,0,0,433,44,0,0,0,0,0,0,477,143,42,186,44,5,12,22,0,16
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau De Averhof,1955::SB15,7037 BJ,1298,563,12,0,0,0,0,525,50,0,0,0,0,0,0,575,238,88,45,62,15,39,39,4,33
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Partycentrum  De Dèèl,1955::SB16,7037 DH,819,360,8,1,0,1,1,329,40,0,0,0,1,0,0,370,126,54,22,65,6,27,29,5,26
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau zaal van 't Kelrehuus,1955::SB17,7035 AW,1199,572,6,3,0,0,0,518,65,0,0,0,2,0,0,583,262,80,71,44,17,55,23,3,17
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau clubgebouw voetbalverenigin Azewijn,1955::SB18,7045 AE,576,332,9,1,0,0,0,309,33,0,0,0,0,0,0,342,156,36,35,40,9,11,36,0,9
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau hal Waverlo/Meulenvelden,1955::SB19,,1444,689,15,4,0,0,0,668,40,0,0,0,0,0,0,708,204,193,58,50,14,119,10,2,39
Rijn en IJssel,Montferland,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau ""Sydehem"" Benedendorpsstraat 35 Zed",1955::SB20,7038 EN,1125,368,13,2,0,0,0,349,34,0,0,0,0,0,0,383,110,60,48,47,3,20,53,4,23
