contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Ons Water,West-Brabant Waterbreed,VVD,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,50PLUS
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Gemeentehuis,0766::SB1,5104 JJ,3155,1159,2,10,0,0,0,1035,136,0,0,0,0,0,0,1171,391,121,137,75,209,101,33,92
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Basisschool De Vlinderboom,0766::SB2,5102 XS,2715,912,27,5,0,0,0,859,85,0,0,0,0,0,0,944,259,78,126,105,113,110,26,95
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Volckaert,0766::SB3,5102 DB,1293,638,15,2,0,0,0,600,55,0,0,0,0,0,0,655,236,54,37,58,101,67,15,70
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Basisschool  St Jan,0766::SB4,5104 CL,1631,678,27,6,0,0,1,642,68,0,0,0,0,0,0,711,180,79,95,80,118,56,19,51
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Basisschool Achterberg,0766::SB5,5104 EG,1323,514,11,4,0,0,0,461,68,0,0,0,0,0,0,529,168,61,64,49,67,51,19,35
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Clubgebouw V.V.Dongen,0766::SB6,,2160,888,24,8,0,0,1,827,92,0,0,0,0,0,0,920,262,73,90,86,210,100,19,48
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Basisschool de Noorderpoort,0766::SB7,5103 GN,2575,924,0,31,0,0,0,859,96,0,0,0,0,0,0,955,251,89,140,90,119,126,35,74
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Sportzaal De Gaasjes,0766::SB8,5106 NC,831,336,7,2,0,0,0,297,48,0,0,0,0,0,0,345,181,17,21,33,42,18,1,23
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Dorpshuis De Geubel,0766::SB9,5109 AC,1876,882,20,7,0,0,0,794,115,0,0,0,0,0,0,909,320,98,91,89,146,44,37,57
Brabantse Delta,Dongen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Europlus,0766::SB10,5101 TJ,2750,832,27,11,0,0,0,787,83,0,0,0,0,0,0,870,287,74,88,86,130,69,25,73
