contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Zeeuws-Vlaanderen,Staatkundig Gereformeerde Partij (SGP),CDA,VVD,Partij voor Zeeland,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,Algemene Waterschapspartij Zeeland,50PLUS
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Heinkenszand 1,0654::SB1,4451 KB,1098,602,8,5,0,0,0,540,75,0,0,0,0,0,0,615,29,6,121,86,110,76,68,27,25,54
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Heinkenszand 2,0654::SB2,4451 KB,1101,439,7,4,0,0,2,400,48,0,0,0,0,0,0,450,9,6,96,66,86,63,49,14,20,30
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Heinkenszand 3,0654::SB3,4451 LA,1047,397,15,0,0,0,1,358,53,0,0,0,0,0,0,412,5,12,100,58,75,46,34,31,18,18
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lewedorp 5,0654::SB5,4456 AL,678,345,2,0,0,1,0,311,37,0,0,0,1,0,0,348,9,29,81,44,67,52,18,15,12,18
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Nieuwdorp,0654::SB6,4455 TL,898,493,5,2,0,0,0,445,55,0,0,0,0,0,0,500,10,154,67,44,88,26,29,41,15,19
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 's-Heerenhoek 7,0654::SB7,4453 BE,802,354,4,4,0,0,0,319,43,0,0,0,0,0,0,362,7,1,100,58,84,34,30,7,16,17
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Borssele,0654::SB8,4454 AS,1014,635,1,3,0,1,1,557,82,0,0,0,1,0,0,640,9,377,42,18,75,20,34,29,11,20
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Driewegen,0654::SB9,4438 AH,452,235,4,0,0,0,0,216,23,0,0,0,0,0,0,239,4,7,33,27,66,20,31,14,11,22
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Ellewoutsdijk,0654::SB10,4437 AE,325,151,1,0,0,0,1,137,14,0,0,0,0,0,0,152,1,3,19,12,56,12,23,6,6,13
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Ovezande,0654::SB11,4441 AE,945,468,4,3,0,0,0,429,46,0,0,0,0,0,0,475,13,7,148,44,108,39,58,13,21,17
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Oudelande,0654::SB12,4436 AD,538,302,2,3,0,0,0,262,45,0,0,0,0,0,0,307,3,13,41,27,132,28,40,5,6,7
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Baarland,0654::SB13,4435 AD,488,273,4,3,0,0,0,244,36,0,0,0,0,0,0,280,7,43,30,19,77,24,32,11,9,21
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Hoedekenskerke,0654::SB14,4433 AL,551,316,0,0,0,0,1,283,32,0,0,0,0,0,0,316,6,67,71,18,61,16,23,36,8,10
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Kwadendamme,0654::SB15,4434 AC,784,386,13,1,0,0,0,371,29,0,0,0,0,0,0,400,8,20,160,42,83,22,23,6,15,7
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Nisse,0654::SB16,4443 AG,495,300,3,3,0,0,0,267,41,0,2,0,2,0,0,308,3,44,63,35,44,38,36,17,6,14
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 's-Heer Abtskerke,0654::SB17,4444 AG,399,226,0,1,0,0,0,205,23,0,1,0,1,0,0,228,6,14,49,35,33,28,25,20,9,7
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 's-Gravenpolder 18,0654::SB18,4431 BP,1045,660,5,2,0,0,5,579,83,0,0,0,0,0,0,667,6,365,69,31,68,15,21,67,2,16
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 's-Gravenpolder 19,0654::SB19,4431 BP,1110,735,4,2,0,0,0,626,115,0,0,0,0,0,0,741,8,341,95,42,88,33,31,46,24,27
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 's-Gravenpolder 20,0654::SB20,4431 EK,1182,809,4,4,0,0,1,726,90,0,0,0,0,0,0,817,12,501,60,31,67,31,23,56,16,12
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Heinkenszand 21,0654::SB21,4451 TL,1086,569,9,0,0,0,0,528,50,0,0,0,0,0,0,578,19,10,168,109,113,52,40,17,14,27
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lewedorp 22,0654::SB22,4456 AG,688,324,4,3,0,0,1,302,28,0,0,0,0,0,0,331,11,18,100,42,59,40,14,10,10,20
Scheldestromen,Borsele,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 's-Heerenhoek 23,0654::SB23,4453 BE,772,336,7,0,0,0,2,301,40,0,0,0,0,0,0,343,8,4,88,64,82,32,18,9,13,18
