contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Ons Water,West-Brabant Waterbreed,VVD,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,50PLUS
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Stadhuis,0826::SB1,4902 ZP,3248,870,42,6,0,0,3,819,97,0,1,0,1,0,0,919,152,83,118,139,124,124,41,89
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Delta-Onderwijs,0826::SB2,4902 AB,2136,806,35,7,0,0,2,760,86,0,0,0,0,0,0,848,152,81,127,78,228,58,9,73
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau Zorgcentrum ""De Doelen""",0826::SB3,4901 AJ,2547,875,39,4,0,0,0,839,79,0,0,0,0,0,0,918,192,91,106,123,150,103,16,94
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Nieuwe Pannehoef,0826::SB5,4905 AT,1821,827,23,8,0,0,0,768,90,0,0,0,0,0,0,858,130,95,97,153,186,60,33,73
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau BS ""Paulo Freire""",0826::SB7,4901 AW,2270,778,34,3,0,0,0,750,65,0,0,0,0,0,0,815,136,73,114,124,103,97,31,100
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau Zorgcentrum ""Oosterheem""",0826::SB8,4901 MN,2261,899,18,8,0,0,0,841,84,0,0,0,0,0,0,925,210,82,122,127,147,100,32,79
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau Speelgoed-& Carnavalsmuseum ""op Stelten""",0826::SB9,4901 HT,1729,555,18,5,0,0,0,513,65,0,0,0,0,0,0,578,121,62,68,82,83,61,21,57
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau Activiteitencentrum ""De Bunthoef""",0826::SB10,4904 CA,2246,668,18,5,0,0,0,629,62,0,0,0,0,0,0,691,98,64,97,127,69,81,37,95
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau Kindcentrum ""De Ontdekking""",0826::SB11,4904 KJ,2057,555,7,1,0,0,0,507,56,0,0,0,0,0,0,563,78,75,94,83,57,81,27,60
Brabantse Delta,Oosterhout,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau Zorgcentrum ""Buurstede""",0826::SB12,4904 PX,893,457,22,8,0,0,0,449,38,0,0,0,0,0,0,487,95,43,57,54,95,43,13,57
