contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Werken aan Water,VVD,Algemene Waterschapspartij,Tilburgse Volkspartij (TVP) & Ouderen Nu,50PLUS
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Kasteel-Raadhuis Dommelrode,0846::SB1,5492 GD,1200,541,7,2,0,0,0,504,46,0,0,0,0,0,0,550,120,113,39,27,166,41,4,31
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Zorgcentrum Odendael,0846::SB2,5492 CT,1501,740,17,8,0,0,0,709,56,0,0,0,0,0,0,765,153,197,62,70,141,56,9,52
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool Dommelrode,0846::SB3,5492 BJ,1239,427,9,1,0,0,0,384,52,0,0,1,0,1,0,436,77,102,36,42,105,53,1,11
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Wijkcentrum Eerschot,0846::SB4,5491 BC,1617,576,11,4,0,0,0,549,42,0,0,0,0,0,0,591,117,120,47,47,150,66,3,26
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool Eerschot,0846::SB5,5491 AB,1186,530,3,1,0,0,0,461,73,0,0,0,0,0,0,534,78,117,38,32,210,39,4,12
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Kantine brandweerkazerne,0846::SB6,5491 GD,1723,857,16,3,0,0,0,789,87,0,0,0,0,0,0,876,192,163,89,62,215,91,3,42
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool Kienehoef,0846::SB7,5491 JD,1727,730,17,4,0,0,0,688,63,0,0,0,0,0,0,751,165,118,83,68,159,83,4,50
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau EHBO-lokaal Boskant,0846::SB8,5492 EC,1127,513,8,1,0,0,0,472,50,0,0,0,0,0,0,522,81,110,30,86,143,33,3,27
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau MFA De Loop'r,0846::SB9,5491 XP,830,367,4,3,0,0,0,346,28,0,0,0,0,0,0,374,49,172,14,12,86,18,1,15
De Dommel,Sint-Oedenrode,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Zalencentrum De Beckart,0846::SB10,5492 HT,1985,892,15,0,15,0,0,776,116,0,0,15,0,0,0,892,144,290,53,36,254,49,15,51
