contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Socialistische Waterschapsvereniging,Partij voor de Dieren,Eigen Woning en Water !,Algemene Waterschapspartij,Recreatie Wonen en Water,ChristenUnie - SGP,50PLUS,De Groenen,Partij voor Mens en Spirit (MenS)
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Gemeentehuis,0384::SB1,1111 ZB,2677,1279,59,14,0,0,1,1252,99,0,0,0,0,0,0,1352,199,225,185,115,63,146,62,27,13,33,130,64,17
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Zorgcentrum De Diem,0384::SB3,1111 AM,1333,587,25,6,0,0,0,568,51,0,1,0,1,0,0,619,86,105,109,45,9,67,39,14,4,12,60,32,5
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Sociaal Cult. Centrum De Schakel,0384::SB4,1111 CC,1271,505,32,5,0,0,0,510,32,0,0,0,0,0,0,542,93,98,47,64,23,46,24,4,11,12,51,29,3
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Portocabine NS-station Diemen,0384::SB5,1111 LZ,2030,591,18,4,1,0,0,564,50,0,0,0,1,0,0,614,93,102,83,76,22,69,21,10,12,10,60,31,2
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Brede School Noorderbreedte,0384::SB7,1111 WD,1891,785,33,6,0,0,0,717,107,0,0,0,0,0,0,824,164,157,143,65,25,70,31,24,7,6,55,32,6
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Wijkcentrum Noord,0384::SB8,1113 HM,3505,1438,27,10,0,0,0,1341,134,0,0,0,0,0,0,1475,213,217,325,128,38,139,66,27,29,20,176,53,7
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Zorgcentrum Berkenstede,0384::SB10,1112 CL,1388,579,12,7,1,0,0,544,55,0,0,0,1,0,0,599,82,127,50,62,33,47,9,11,14,25,91,23,5
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau OBS De Venser,0384::SB12,1112 BE,2363,988,31,8,0,0,0,943,84,0,0,0,0,0,0,1027,152,191,106,81,41,111,42,23,15,27,140,43,16
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Grand café Berlin (Campus Diemen),0384::SB13,1112 XC,3068,628,36,3,0,0,0,632,35,0,0,0,0,0,0,667,104,142,98,25,21,87,22,9,8,20,33,50,9
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Keet Boschplaat,0384::SB14,1112 KA,737,352,7,4,0,0,0,331,32,0,0,0,0,0,0,363,64,43,49,32,9,52,10,10,5,15,31,26,6
"Amstel, Gooi en Vecht",Diemen,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Basisschool De Nieuwe Kring,0384::SB21,1111 GH,1656,516,18,3,0,1,0,482,57,0,1,0,2,0,0,539,101,77,103,38,20,41,31,7,2,10,50,32,4
