contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Water Natuurlijk,CDA,SGP-ChristenUnie,DWLK & Schieland: Helder als water,Stichting Veilig Vitaal Waterbeheer,Algemene Waterschapspartij,50PLUS
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Raadhuis,1931::SB1,2941 ES,1371,889,9,5,0,0,0,791,112,0,0,0,0,0,0,903,103,128,60,69,80,172,126,119,32
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Het Schateiland,1931::SB2,2941 SE,1110,448,12,1,0,0,0,404,57,0,0,0,0,0,0,461,74,55,50,33,60,69,34,59,14
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau CBS  Eben-Haëzer,1931::SB3,2941 VE,1166,547,4,4,0,0,2,481,72,0,0,0,0,0,0,555,56,60,36,43,116,97,56,61,22
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau De Breeje Hendrick,1931::SB4,2941 TN,1305,674,8,7,0,2,0,617,70,0,0,2,0,0,0,687,103,81,65,43,92,88,82,82,38
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Ichthus Kerk,1931::SB5,2941 BM,1177,644,5,5,2,0,0,577,75,0,0,2,0,0,0,652,71,95,40,83,100,118,68,51,18
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Het Cultuurhuis,1931::SB6,2931 CK,1252,707,6,3,0,0,0,641,75,0,0,0,0,0,0,716,79,103,94,74,74,80,62,105,36
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Het Koetshuis,1931::SB7,2931 AG,1369,628,9,6,0,1,0,585,57,0,0,1,0,0,0,642,69,88,60,53,94,63,60,106,35
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Floraschool,1931::SB8,2931 RP,1387,623,7,7,0,0,0,586,51,0,0,0,0,0,0,637,72,82,82,62,85,63,60,87,30
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau De Dertienhuizen,1931::SB9,2931 XZ,1317,614,13,2,0,0,0,578,51,0,0,0,0,0,0,629,75,64,78,69,78,62,74,91,23
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Gemeentehuis,1931::SB10,2861 AH,1221,582,8,3,0,2,0,516,75,0,0,2,0,0,0,591,54,58,45,83,169,46,92,20,15
