contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Orbis de Baenje,1883::SB1,6131 JR,1866,844,51,7,0,0,0,814,88,0,0,0,0,0,0,902,62,426,213,5,6,53,54,25
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Fontys Hogeschool Zuyd,1883::SB2,6163 AJ,1696,696,43,7,0,0,0,680,64,0,0,2,0,2,0,744,29,340,175,19,10,48,42,33
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Barbarazaal,1883::SB3,6134 XJ,1769,481,8,11,0,0,0,434,66,0,0,0,0,0,0,500,22,261,99,9,6,36,12,36
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis de Landjwaer,1883::SB4,6133 AJ,1760,955,44,19,0,0,0,925,93,0,0,0,0,0,0,1018,21,512,260,16,6,58,33,49
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Fanfarezaal St.Jan,1883::SB5,6132 CD,2045,960,61,11,0,0,0,878,154,0,0,0,0,0,0,1032,43,456,232,16,11,41,133,28
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Orbis De Kollenberg,1883::SB6,6137 AC,1208,481,31,11,0,0,0,480,43,0,0,0,0,0,0,523,22,243,120,6,3,47,17,23
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Tafeltenniscentrum Sittard,1883::SB7,6137 PE,1692,564,18,6,0,0,0,534,54,0,0,0,0,0,0,588,30,291,117,4,12,74,9,27
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Broeksittard,1883::SB8,6137 SR,1893,509,14,1,0,0,0,463,62,0,1,0,1,0,0,525,17,246,117,5,11,59,18,36
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Oos Zittesj Hoes,1883::SB9,6131 GS,1449,387,16,5,2,0,0,375,35,0,0,0,2,0,0,410,18,195,96,4,6,37,8,23
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Xonar,1883::SB10,6132 EL,1458,381,21,0,0,0,0,364,38,0,0,0,0,0,0,402,10,184,107,6,5,27,8,34
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool Lahrhof,1883::SB11,6132 GN,1475,730,33,5,1,0,0,674,95,0,0,0,1,0,0,769,28,332,171,14,5,67,66,47
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,"Stembureau Zalencentrum  ""De Oase""",1883::SB12,6137 RX,2176,796,53,7,0,0,0,760,96,0,0,0,0,0,0,856,31,382,228,10,14,35,55,41
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis De Baandert,1883::SB13,6136 JH,2031,816,34,12,0,0,0,743,121,0,2,0,2,0,0,864,41,485,128,11,6,73,26,46
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau DVO Sportpark Overhoven,1883::SB14,6136 XX,1218,461,22,3,0,0,0,413,73,0,0,0,0,0,0,486,11,206,134,6,4,48,15,37
Roer en Overmaas,Sittard-Geleen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Oos Kaar,1883::SB15,6136 AS,1815,766,38,15,0,0,0,715,104,0,0,0,0,0,0,819,26,306,299,9,7,44,36,39
