contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Ons Water,West-Brabant Waterbreed,VVD,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,50PLUS
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Vita,0784::SB1,5121 CM,2052,770,21,7,0,0,0,724,74,0,0,0,0,0,0,798,124,76,107,81,126,147,31,78
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Boodschap,0784::SB2,5121 BC,1745,696,13,10,0,0,0,673,46,0,0,0,0,0,0,719,98,71,122,85,92,133,26,69
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Burg. van Mierloschool,0784::SB3,5121 HT,1572,551,12,5,0,0,0,517,51,0,0,0,0,0,0,568,113,57,62,52,95,112,10,50
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau School De Brakken,0784::SB4,5121 EM,2381,883,8,41,0,0,0,818,114,0,0,0,0,0,0,932,164,89,151,65,117,183,26,88
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Sint Jozefschool,0784::SB5,5121 EG,2335,882,0,23,0,0,0,793,112,0,0,0,0,0,0,905,160,120,123,76,138,169,23,73
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Hal NS-station,0784::SB6,5121 EA,2164,893,39,6,0,0,0,842,96,0,0,0,0,0,0,938,157,90,117,73,191,154,32,79
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Woonstichting Leystromen,0784::SB7,5121 LN,1066,343,6,5,0,1,1,317,35,0,0,1,0,0,0,353,58,21,59,26,75,53,8,43
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Zorgcentrum Sint Franciscus,0784::SB8,5126 GC,1881,827,19,16,0,0,0,814,48,0,0,0,0,0,0,862,169,42,83,54,153,231,22,73
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Sporthal Achter de Tuintjes,0784::SB9,5126 HA,2028,870,21,10,0,0,0,820,81,0,0,0,0,0,0,901,180,62,82,69,215,184,16,62
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Heemkring Molenheide,0784::SB10,5126 CE,2087,648,9,5,0,0,0,593,69,0,0,0,0,0,0,662,93,44,84,36,121,205,21,44
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Molenwiek,0784::SB11,5124 RM,1007,442,8,5,0,0,0,404,51,0,0,0,0,0,0,455,138,25,28,30,128,46,10,37
Brabantse Delta,Gilze en Rijen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau The Chump,0784::SB12,5125 NL,280,113,0,0,0,0,0,106,7,0,0,0,0,0,0,113,32,9,7,12,30,17,2,4
