contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Zeeuws-Vlaanderen,Staatkundig Gereformeerde Partij (SGP),CDA,VVD,Partij voor Zeeland,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,Algemene Waterschapspartij Zeeland,50PLUS
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Hal Stadhuis,0677::SB1,4561 EA,2454,1167,21,10,0,0,0,1026,172,0,0,0,0,0,0,1198,403,8,241,167,28,143,62,11,23,81
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,4561 NT,1402,696,13,7,0,0,0,632,84,0,0,0,0,0,0,716,245,1,194,46,23,75,45,7,23,37
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gemeenschapscentrum Den Dullaert,0677::SB3,4561 KZ,2269,1038,12,2,0,0,0,910,142,0,0,0,0,0,0,1052,355,7,273,92,35,130,61,11,25,49
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,"Stembureau Reynaertcollege, loc. Gildenstraat",0677::SB4,4561 WZ,2623,706,4,6,0,0,0,615,101,0,0,0,0,0,0,716,286,2,136,48,27,76,53,13,18,47
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gemeenschapscentrum Malpertuus,0677::SB5,4567 BM,1987,645,11,0,0,0,0,553,103,0,0,0,0,0,0,656,230,4,111,29,28,133,32,9,14,55
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gemeenschapscentrum de Kauter,0677::SB6,4568 AB,825,241,2,4,0,0,0,193,54,0,0,0,0,0,0,247,67,0,109,15,9,15,13,1,3,9
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gemeenschapshuis Graauw,0677::SB7,4569 AG,762,409,3,1,0,0,1,345,67,0,0,0,0,0,0,413,81,2,212,11,8,25,20,3,30,17
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gemeenschapscentrum De Warande,0677::SB8,4564 AD,2850,1121,15,6,0,2,0,960,184,0,0,0,2,0,0,1144,620,3,166,28,31,112,42,11,13,95
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gemeenschapscentrum 't Heike,0677::SB9,4566 AC,1070,458,3,7,0,0,0,381,87,0,0,0,0,0,0,468,241,2,100,34,7,34,9,5,6,20
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,"Stembureau St. Curamus, locatie Antonius",0677::SB10,4587 CW,1301,579,6,4,0,0,0,503,86,0,0,0,0,0,0,589,354,2,125,20,10,20,17,5,5,21
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpscentrum De Luifel,0677::SB11,4586 AN,795,367,1,3,0,0,0,317,54,0,0,0,0,0,0,371,189,0,84,17,6,16,27,8,3,17
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Terhole,0677::SB12,4583 ST,492,224,0,2,0,0,0,203,23,0,0,0,0,0,0,226,89,3,52,2,6,28,21,1,9,13
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,4581 BR,1501,664,4,1,0,0,0,568,101,0,0,0,0,0,0,669,321,7,162,35,22,30,41,21,3,22
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,4589 KR,410,215,2,2,0,0,0,179,40,0,0,0,0,0,0,219,118,0,42,4,3,10,18,2,13,5
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpscentrum De Schuur,0677::SB15,4585 AJ,544,257,7,2,0,0,0,229,37,0,0,0,0,0,0,266,116,0,58,8,5,18,30,6,5,11
Scheldestromen,Hulst,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Voormalig gem.huis Kloosterzande,0677::SB16,4587 CK,1258,615,5,2,0,0,0,514,109,0,0,0,1,0,0,623,351,1,143,24,19,20,29,3,5,20
