contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Ons Water,West-Brabant Waterbreed,VVD,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,50PLUS
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Stadhuis,0758::SB1,,2251,734,31,7,0,0,1,729,42,0,0,0,0,0,0,772,97,139,78,48,190,109,36,37
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau RK BS St. Joseph,0758::SB2,,2823,656,43,5,0,1,0,651,54,0,0,0,1,0,0,705,62,111,99,31,175,115,33,30
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Cingel College,0758::SB3,,2756,795,40,7,0,0,0,764,76,0,0,2,0,2,0,840,108,125,111,42,180,130,44,55
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Zorg en Behandelcentrum Elisabeth,0758::SB4,,1907,417,22,1,0,0,0,406,34,0,0,0,0,0,0,440,64,66,59,36,48,66,33,45
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau BS De Singel,0758::SB5,,2234,529,24,2,0,0,0,526,29,0,0,0,0,0,0,555,47,95,78,33,106,87,43,40
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Stadskantoor,0758::SB6,,1917,1163,47,12,0,0,0,1103,119,0,0,0,0,0,0,1222,154,198,124,63,294,184,57,89
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau NHTV,0758::SB10,,1706,425,24,2,0,0,0,413,38,0,0,0,0,0,0,451,49,78,67,33,50,76,29,43
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Vrije School Breda,0758::SB11,,2472,750,43,2,0,0,0,795,0,0,0,0,0,0,0,795,74,194,83,57,93,131,38,80
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau BS De Liniedoorn,0758::SB12,,2216,552,18,5,0,0,0,524,52,0,0,0,1,0,0,576,73,79,82,58,52,101,22,85
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau 't Rietveldhuis,0758::SB13,,1204,271,18,3,0,1,0,267,26,0,0,0,1,0,0,293,29,46,44,21,24,53,15,39
Brabantse Delta,Breda,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau BS De Fontein,0758::SB14,,1824,404,8,3,0,0,0,378,36,0,0,1,0,1,0,414,66,55,59,38,30,67,21,68
