contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Betaalbaar Water,ChristenUnie,VVD,50PLUS,Algemene Waterschapspartij (AWP),Partij voor Mens en Spirit (MenS),Partij voor de Dieren
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Gemeentehuis Winsum,0053::SB1,9951 AC,789,389,6,2,0,0,0,359,38,0,0,0,0,0,0,397,85,44,91,53,42,32,10,11,3,18
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Winkheem,0053::SB2,9951 BG,839,474,9,0,0,0,0,444,39,0,0,0,0,0,0,483,90,85,118,40,61,45,6,6,5,18
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Sportschool Veldwijk,0053::SB3,9951 TD,1147,784,15,5,0,1,0,731,74,0,0,0,1,0,0,805,188,109,116,75,106,79,21,27,10,53
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Agricola,0053::SB4,9953 PH,885,625,0,3,0,0,0,628,0,0,0,0,0,0,0,628,136,78,125,42,73,75,26,24,8,38
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau CSG Winsum,0053::SB5,9951 HX,1027,631,11,6,0,0,0,594,55,0,1,0,1,0,0,649,138,97,71,75,125,32,19,23,7,44
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau De Hoogte Zalenverhuur,0053::SB6,9951 EP,953,571,17,4,0,1,1,542,50,0,0,0,1,0,0,593,162,137,61,61,55,28,10,17,3,37
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Sporthal Ripperdahal,0053::SB7,9951 JH,1022,504,13,4,0,0,0,491,30,0,0,0,0,0,0,521,127,85,43,63,75,28,22,14,13,34
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,"Stembureau ""Op Streek""",0053::SB8,9956 PN,430,242,2,2,0,0,0,218,28,0,0,0,0,0,0,246,81,38,18,12,9,29,3,14,5,33
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Schleurholtshuus,0053::SB9,9891 AC,903,451,12,4,0,0,0,419,48,0,0,0,0,0,0,467,127,70,92,30,27,32,16,9,3,45
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Viskenij Wooncentrum,0053::SB10,9953 PW,823,370,1,0,0,0,0,337,34,0,0,0,0,0,0,371,78,37,90,39,55,18,19,7,2,25
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Kromme Akkers,0053::SB11,9893 PD,368,242,6,1,0,0,0,225,24,0,0,0,0,0,0,249,72,35,19,32,11,24,5,3,2,39
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,"Stembureau ""Ubbegaheem""",0053::SB12,9771 BB,957,617,11,4,0,0,0,579,53,0,0,0,0,0,0,632,107,54,128,60,152,30,18,21,5,42
Noorderzijlvest,Winsum,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,"Stembureau ""Artharpe""",0053::SB13,9774 PH,526,328,10,3,0,0,0,316,25,0,0,0,0,0,0,341,103,49,35,35,16,41,14,10,6,19
