contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Water Natuurlijk,CDA,SGP-ChristenUnie,DWLK & Schieland: Helder als water,Stichting Veilig Vitaal Waterbeheer,Algemene Waterschapspartij,50PLUS
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Stichting Welzijn&Zorg Doven WeZoDo,0637::SB1,2712 VD,1433,399,7,0,0,1,0,364,43,0,0,0,1,0,0,407,30,60,54,58,78,27,12,36,44
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Gereformeerde Kerk Vrijgemaakt,0637::SB2,2712 KC,1416,651,10,6,0,0,0,614,55,0,2,0,2,0,0,669,57,101,94,102,119,37,19,63,59
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Woon- en Zorgcentrum De Morgenster,0637::SB3,2712 AT,887,489,15,3,0,0,0,445,60,0,0,2,0,0,0,505,61,69,41,83,105,30,13,34,53
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Castellum Palensteyn,0637::SB6,2722 BN,78,14,0,0,0,0,0,13,1,0,0,0,0,0,0,14,3,2,4,1,1,0,0,1,2
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Paulusschool,0637::SB7,2712 RN,2,146,1,1,0,0,0,128,20,0,0,0,0,0,0,148,21,26,33,23,9,4,6,7,17
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau De Meervogels,0637::SB8,2712 PT,0,44,0,0,0,0,0,38,6,0,0,0,0,0,0,44,8,6,2,3,11,7,1,4,2
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Recreatieruimte Bijdorp,0637::SB9,2713 SZ,0,21,0,0,2,0,0,21,2,0,0,0,2,0,0,23,2,1,3,5,1,0,1,7,1
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Centrum voor Kunst en Cultuur,0637::SB10,2722 PC,0,32,3,2,0,0,0,33,4,0,0,0,0,0,0,37,1,5,13,3,3,1,0,6,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Gemeentehuis Driemanspolderzaal,0637::SB11,2711 CZ,0,85,1,0,0,0,0,74,10,0,0,2,0,2,0,84,15,24,11,10,1,3,1,11,9
Schieland en de Krimpenerwaard,Zoetermeer,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Recreatieruimte Flat De Leliënborgh,0637::SB12,2711 BG,0,14,0,0,0,0,0,13,1,0,0,0,0,0,0,14,2,1,4,4,0,0,0,1,2
