contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Gemeentehuis Exloo,1681::SB1,7875 AD,1382,763,17,5,0,0,0,718,67,0,0,0,0,0,0,785,123,126,57,239,24,65,62,67
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Paasbergen Odoorn,1681::SB2,7873 BE,13,16,0,0,0,0,0,13,3,0,0,0,0,0,0,16,1,2,0,3,3,4,0,3
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Ons Dorpshuis Valthe,1681::SB3,7872 PL,997,511,9,3,0,0,0,487,36,0,0,0,0,0,0,523,100,92,65,92,25,37,39,61
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Oes Hokkie Klijndijk,1681::SB4,7871 PA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dorpshuis Odoornerveen,1681::SB5,7874 TD,222,92,1,1,0,0,0,86,8,0,0,0,0,0,0,94,7,10,23,21,3,5,18,5
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Badde 1e Exloërmond,1681::SB6,9573 PC,311,151,0,5,0,0,0,148,8,0,0,0,0,0,0,156,18,11,39,20,13,21,12,17
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Horecacentrum Spa 2e Exloërmond,1681::SB7,9571 BM,875,357,10,2,0,0,0,339,30,0,0,0,0,0,0,369,55,41,46,35,36,44,21,79
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Hunsowhal 2e Exloërmond,1681::SB8,9571 BB,1044,491,4,10,0,0,0,465,40,0,0,0,0,0,0,505,65,78,53,51,44,58,50,92
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Wenakker Valthermond,1681::SB9,7876 HP,1468,429,6,4,0,0,0,400,39,0,0,0,0,0,0,439,67,51,91,39,29,51,39,62
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau,1681::SB10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau 't Brughuus Valthermond,1681::SB11,7876 GJ,1471,658,14,4,0,0,0,600,76,0,0,0,0,0,0,676,100,82,120,48,54,82,72,100
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau,1681::SB12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Cultuurpodium Van Slag Borger,1681::SB13,9531 AG,1444,635,7,3,0,0,0,594,51,0,0,0,0,0,0,645,95,136,87,115,22,76,46,58
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau MFA Het Hunzehuys Borger,1681::SB14,9531 CH,1361,865,10,8,0,0,0,814,69,0,0,0,0,0,0,883,116,199,133,158,19,124,65,51
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Borgerhof Borger,1681::SB15,9531 HL,1108,569,4,5,0,0,0,540,38,0,0,0,0,0,0,578,91,159,97,101,14,49,19,39
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Hotel Restaurant Hartlief Buinen,1681::SB16,9528 PC ,651,332,6,0,0,0,0,312,26,0,0,0,0,0,0,338,31,49,44,98,8,42,27,33
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Meester Hekman Hoes Drouwen,1681::SB17,9533 PL,574,309,3,2,0,0,0,281,33,0,0,0,0,0,0,314,40,76,12,103,3,20,33,22
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Mandelieg Hoes Ees,1681::SB18,9536 PN,548,313,2,1,0,0,0,277,39,0,0,0,0,0,0,316,34,40,78,80,8,21,21,31
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dorpshuis Buinerveen,1681::SB19,9524 PA,849,355,11,2,0,0,0,338,30,0,0,0,0,0,0,368,74,49,26,61,15,43,31,56
Hunze en Aa's,Borger-Odoorn,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Verenigingsgebouw Tussendiep Nieuw-Buinen,1681::SB20,9521 CB,895,372,6,5,0,0,0,354,29,0,0,0,0,0,0,383,62,46,68,36,42,45,23,50
