contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,Algemene Waterschapspartij,50PLUS
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Het Raadhuis,0118::SB1,,1551,800,12,2,0,0,0,723,89,0,0,2,0,2,0,812,186,69,99,170,91,120,65
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau De Westerkim,0118::SB2,,1494,625,4,5,0,0,0,587,47,0,0,0,0,0,0,634,235,46,62,71,94,69,48
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau J. v.d. Sleedenhuis,0118::SB3,,1320,524,9,3,0,1,0,495,40,0,0,1,0,0,0,535,117,62,70,93,61,72,49
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Het Knooppunt,0118::SB4,,1311,564,10,8,0,0,0,536,46,0,0,0,0,0,0,582,154,60,86,70,65,76,53
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau WZC De Meteoor,0118::SB5,,2031,489,7,5,0,0,0,463,38,0,0,0,0,0,0,501,91,49,72,73,78,73,53
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Schoolwoning Erflanden,0118::SB6,,2054,921,4,2,0,0,0,815,112,0,0,0,0,0,0,927,186,85,116,240,110,124,60
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau MFC De Magneet,0118::SB7,,2015,1046,23,7,0,0,0,995,81,0,0,0,0,0,0,1076,206,113,177,127,128,187,108
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Oosterkerk,0118::SB8,,1581,835,13,5,0,0,0,781,71,0,0,1,0,0,0,852,197,97,102,131,142,105,61
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau WZC Wolfsbos,0118::SB9,,1682,585,7,2,0,0,0,542,52,0,0,0,0,0,0,594,134,89,106,44,66,100,46
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Buurthuis DES-gebouw,0118::SB10,,1666,520,4,1,0,0,0,496,29,0,0,0,0,0,0,525,95,64,80,47,80,103,51
Reest en Wieden,Hoogeveen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau School Zuiderbreedte,0118::SB11,,1423,651,10,1,0,0,0,616,46,0,0,0,0,0,0,662,172,59,93,60,110,97,60
