contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 01 - Trefcentrum,0951::SB1,6361 CA,1279,632,18,1,0,0,2,591,58,0,0,0,0,0,0,651,205,24,324,22,7,6,18,26
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 02 - Basisschool de Bolster,0951::SB2,6361 XG,1501,666,15,3,0,0,0,613,71,0,0,0,0,0,0,684,226,21,296,26,4,15,46,32
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 04 - Zorgcentrum Op den Toren,0951::SB3,6361 EB,999,374,12,1,0,0,0,343,44,0,0,0,0,0,0,387,156,9,137,11,6,7,26,22
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 05 - Kantine tennisclub Nuth,0951::SB4,6361 EV,864,340,11,3,0,0,0,316,38,0,0,0,0,0,0,354,121,8,138,12,3,3,29,26
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 06 - voorm. Servatiusschool,0951::SB5,6361 JE,866,359,11,7,0,0,0,333,44,0,0,0,0,0,0,377,192,33,68,17,3,4,27,15
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 07 - Gemeenschapshuis Wijnandsrade,0951::SB6,6363 BV,1418,682,33,6,0,0,1,634,86,0,0,0,0,0,0,721,355,15,185,32,4,8,59,24
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 08 - Gemeenschapshuis Schimmert,0951::SB7,6333 BJ,1300,552,39,7,0,0,2,514,82,0,0,0,0,0,0,598,310,32,87,45,8,1,38,31
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 10 - Zaal 't Weverke,0951::SB8,6333 BG,1378,649,49,13,0,0,0,642,69,0,0,0,0,0,0,711,334,48,128,67,5,5,31,31
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 11 - Zorgcentrum Panhuys,0951::SB9,6336 AH,1628,736,22,4,0,0,1,656,105,0,0,0,0,0,0,762,533,19,89,43,10,4,15,23
Roer en Overmaas,Nuth,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 13 -Kantine Voetbalvere. Hulsberg,0951::SB10,6336 VT,1738,791,34,12,0,0,0,729,108,0,0,0,0,0,0,837,518,17,109,60,13,4,31,39
