contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Zorgcentrum MMP, Kerkplein 3, Gendringen",1509::SB1,7081 BZ,1785,734,25,4,0,0,0,763,0,0,0,0,0,0,0,763,209,90,84,99,19,35,155,4,39
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Sportzaal Prinsenhof, Prinsenhof 2A, Gendringen",1509::SB2,7081 DG,1749,792,25,5,0,0,0,742,81,1,0,0,1,0,0,823,207,118,112,89,22,40,166,8,30
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau DRU Cultuurfabriek, Hutteweg 24, Ulft",1509::SB3,7071 BV,1680,801,12,5,0,0,0,748,70,0,0,0,0,0,0,818,133,113,199,71,36,21,178,6,44
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau RK Basisschool Mariaschool, Neptunus 8, Ulft",1509::SB4,7071 VG,1614,768,18,0,0,1,0,719,66,0,0,1,0,0,0,785,143,127,155,84,33,30,156,3,37
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Clubgebouw De Eendracht, Dr. Ariënsstraat 5A, Ulft",1509::SB5,7071 AH,1673,592,9,5,0,0,0,550,56,0,0,0,0,0,0,606,124,89,98,52,44,22,135,1,27
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau RK Basisschool de Dobbelsteen, Hofstraat 23, Ulft",1509::SB6,7071 KA,1626,641,12,4,0,0,0,604,53,0,0,0,0,0,0,657,130,109,122,49,32,25,130,6,38
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Gildegebouw, Woldenburgseweg 1, Netterden",1509::SB7,7077 AG,374,206,9,3,0,0,0,195,23,0,0,0,0,0,0,218,73,26,21,13,7,9,46,2,9
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau De Glazeren Kast, Oudekerkstraat 2, Etten",1509::SB8,7075 AB,1477,726,4,11,0,0,0,709,32,0,0,0,0,0,0,741,312,56,45,82,19,25,156,6,25
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Gemeenschapshuis 't Dorpshuus, Hoofdstraat 29A, Varsselder",1509::SB9,7076 AG,600,285,8,0,0,0,0,269,24,0,0,0,0,0,0,293,111,31,21,26,6,24,60,2,4
Rijn en IJssel,Oude IJsselstreek,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Café-Restaurant Koenders, Terborgseweg 61, Breedenbroek",1509::SB10,7084 AB,790,418,2,0,0,0,0,370,50,0,0,0,0,0,0,420,225,55,21,39,2,14,48,4,10
