contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,"Groen, Water & Land",Boeren Burgers Waterbelang,Algemene Waterschapspartij,Gewest NH/U KNSB,Partij voor Mens en Spirit (MenS),50PLUS,ChristenUnie-SGP,Koninklijke Schuttevaer
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Woonzorgcentrum St. Agnes,0396::SB1,1962 GA,2141,776,23,15,0,0,0,743,71,0,0,0,0,0,0,814,102,184,107,61,120,33,32,29,15,61,23,9
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Verpleeghuis Meerstate,0396::SB2,1962 AB,1792,901,28,11,0,0,0,868,72,0,0,0,0,0,0,940,156,169,110,110,116,46,35,58,21,52,22,6
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau RKBS de Otterkolken,0396::SB3,1963 AS,2004,787,33,7,0,0,0,762,65,0,0,0,0,0,0,827,132,122,120,88,131,37,23,29,19,45,34,7
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau OBS De Zevenhoeven,0396::SB4,1963 KH,1989,918,20,4,0,0,0,876,66,0,0,0,0,0,0,942,129,164,139,103,146,57,27,44,17,57,24,11
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Kantine Brandweerkazerne,0396::SB5,1962 TG,1744,653,25,7,0,0,1,637,47,0,0,0,0,0,0,685,83,151,102,62,78,34,24,44,3,49,14,9
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Buurthuis de Schuilhoek,0396::SB6,1962 TV,1808,607,22,3,0,0,0,579,53,0,0,0,0,0,0,632,64,159,75,68,65,40,27,24,11,52,17,5
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Gemeentehuis,0396::SB7,1964 EZ,2265,969,30,9,0,0,0,928,80,0,0,0,0,0,0,1008,138,199,141,115,127,43,28,72,19,60,16,11
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Tuinkamer Burisbeek,0396::SB8,1964 KT,1816,874,2,8,0,0,0,812,72,0,0,0,0,0,0,884,88,177,101,118,139,56,18,59,21,57,28,12
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Verpleeghuis Heemswijk,0396::SB9,1964 RM,1840,807,20,6,1,2,0,753,83,0,0,0,3,0,0,836,120,133,101,117,122,48,25,54,5,41,27,14
Hollands Noorderkwartier,Heemskerk,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Buurtcentrum D'Evelaer,0396::SB10,1969 MV,1425,617,10,6,0,0,1,567,65,0,0,0,0,0,0,633,53,157,57,93,51,64,24,70,11,25,9,3
