contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeentehuis Gulpen,1729::SB1,6271 DA,1433,689,34,5,0,0,0,634,94,0,0,0,0,0,0,728,61,10,84,460,9,5,25,35
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Dr. Ackenshuis,1729::SB2,6271 EA,1071,412,22,2,0,0,0,378,58,0,0,0,0,0,0,436,46,5,41,268,6,4,18,24
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Reijmerstok,1729::SB3,6274 NK,652,306,0,16,0,0,0,286,36,0,0,0,0,0,0,322,32,2,32,207,6,0,17,10
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Wielderhoes,1729::SB4,6321 BG,1089,478,29,4,0,0,0,465,46,0,0,0,0,0,0,511,47,6,55,328,5,3,17,17
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool Op de Tien Bunder,1729::SB5,6321 CP,1089,425,30,7,0,0,0,420,42,0,0,0,0,0,0,462,37,1,27,333,5,3,12,7
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis A gen Sjoeël,1729::SB6,6281 AE,1561,715,38,9,0,0,0,666,98,0,0,0,2,0,0,764,38,3,62,569,6,7,11,19
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Patronaat (Epen),1729::SB7,6285 BD,922,382,23,15,0,0,0,357,63,0,0,0,0,0,0,420,26,3,26,300,5,3,15,4
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Café A gen Baag (Nijswiller),1729::SB8,6286 CA,634,253,9,1,0,0,0,225,38,0,0,0,0,0,0,263,29,4,16,182,6,2,5,9
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis A ge Wienhoes,1729::SB9,6286 AM,638,309,12,2,0,0,0,284,38,0,0,1,0,0,0,322,16,0,36,225,1,1,12,18
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Woonzorgcomplex Agathahöfke,1729::SB10,6287 AL,1456,769,0,0,0,0,0,728,41,0,0,0,0,0,0,769,89,8,97,521,7,4,26,17
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Wilder Tref,1729::SB11,6286 BG,381,182,13,3,0,0,1,180,17,0,0,0,0,0,0,198,14,4,18,139,1,1,3,2
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Fanfarezaal Berg en Dal (Slenaken),1729::SB12,6277 NC,539,287,14,2,0,0,0,274,29,0,0,0,0,0,0,303,15,1,29,215,2,4,8,13
Roer en Overmaas,Gulpen-Wittem,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Verpleeghuis Klein Gulpen,1729::SB13,6271 AA,895,249,11,2,0,0,0,229,33,0,0,0,0,0,0,262,12,0,19,194,5,1,7,11
