contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,Algemene Waterschapspartij,50PLUS
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Ontm. centr. Dingspilhuus.,1701::SB1,7981 AV,1391,769,14,7,0,3,0,718,75,0,0,0,3,0,0,793,157,109,123,133,19,131,97
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Villa Nova Zorgvlied,1701::SB2,8437 PB,320,180,4,3,0,0,0,167,20,0,0,0,0,0,0,187,26,39,12,46,0,27,30
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis  Oens Huus,1701::SB3,7983 KL,487,297,6,1,0,0,0,268,36,0,0,0,0,0,0,304,65,43,36,89,2,38,24
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Ons Dorpshuis,1701::SB4,8384 EE,1369,616,8,1,0,0,0,547,78,0,0,0,0,0,0,625,128,117,81,130,22,75,63
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Verz. centr. De Weyert,1701::SB5,7991 BN,1305,686,14,7,0,0,0,657,50,0,0,0,0,0,0,707,182,105,108,113,24,76,78
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau OBS De Eemster,1701::SB6,7991 PP,759,447,1,4,0,0,0,399,53,0,0,0,0,0,0,452,110,90,48,105,19,45,30
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Hotel  De Börken,1701::SB7,7991 PJ,384,243,1,0,0,0,0,217,27,0,0,0,0,0,0,244,62,49,21,62,7,22,20
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Ontmoetingscentrum  De Veldkei,1701::SB8,7971 BX,1661,991,24,7,0,0,0,954,68,0,0,0,0,0,0,1022,141,159,127,284,26,147,107
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Multif. centrum  De Wiekslag,1701::SB9,8351 HR,660,358,6,2,0,0,0,332,34,0,0,0,0,0,0,366,55,57,50,98,19,53,26
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis  De Vlasbarg'n,1701::SB10,7975 BX,1162,594,7,6,0,0,0,546,61,0,0,0,0,0,0,607,88,113,91,123,8,135,36
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Buurthuis  De Stobbe,1701::SB11,7973 KG,734,313,6,2,0,0,0,295,26,0,0,0,0,0,0,321,30,63,40,44,22,52,62
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Verzorgingscentrum  De Molenhof,1701::SB12,7971 BK,1197,579,12,0,1,0,0,530,62,0,0,0,1,0,0,592,68,113,95,143,12,86,62
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Ontm. centr.  De Tippe,1701::SB13,8381 BX,1393,684,15,3,0,0,0,638,64,0,0,0,0,0,0,702,127,127,80,123,45,97,85
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Gemeentehuis Diever,1701::SB14,7981 EL,1005,563,7,3,0,0,0,511,61,0,0,1,0,1,0,572,111,90,74,96,32,116,44
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau 't Hof van Dwingeloo,1701::SB15,7991 AA,838,469,0,19,0,0,0,437,51,0,0,0,0,0,0,488,123,66,54,142,13,43,28
Reest en Wieden,Westerveld,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Brandweerkazerne Vledder,1701::SB16,8381 BB,894,379,0,4,0,0,2,358,23,0,0,0,0,0,0,383,63,82,49,78,14,45,48
