contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,VVD,50PLUS
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeentehuis Uden,0856::SB1,5401 EJ,1670,977,11,9,0,1,2,914,82,0,0,0,1,0,0,998,147,438,73,62,159,98
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Wijkcentrum Balans,0856::SB2,5401 CT,1621,615,14,10,0,0,0,581,58,0,0,0,0,0,0,639,97,318,57,40,64,39
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Scouting Jeanne d'Arc,0856::SB3,5404 PR,1694,577,13,4,0,0,0,520,74,0,0,0,0,0,0,594,78,281,42,37,102,37
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau RK Basisschool De Springplank,0856::SB4,5403 AG,1113,545,12,6,0,0,0,512,51,0,0,0,0,0,0,563,80,259,46,30,72,58
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau OBS Camelot,0856::SB5,5403 XD,1522,575,21,0,0,0,0,529,67,0,0,0,0,0,0,596,99,266,57,45,59,49
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Tennis- en Squashveren. Park Hoeven,0856::SB6,5403 NA,1859,793,26,7,0,0,0,825,1,0,0,0,0,0,0,826,107,363,95,57,119,52
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Udens College,0856::SB7,5403 GB,1454,552,8,3,0,0,0,511,52,0,0,0,0,0,0,563,90,251,58,58,56,39
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau OBS de Leeuwerik,0856::SB8,5402 XD,2136,761,14,7,0,3,0,688,97,0,0,0,3,0,0,785,118,393,46,38,96,70
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Zorgcentrum Sint Jan,0856::SB9,5401 BE,1356,552,12,3,0,0,0,519,47,0,0,1,0,1,0,566,150,233,39,21,63,46
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Wijkgebouw De Nieuwe Pit,0856::SB10,5401 ZG,1443,469,25,7,0,0,0,445,56,0,0,0,0,0,0,501,70,232,42,37,51,37
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau OBS de Meent,0856::SB11,5402 HA,1484,660,10,9,0,0,0,586,94,0,1,0,1,0,0,680,103,370,44,30,68,45
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Stichting Eigen Herd,0856::SB12,5401 AT,1476,720,18,4,0,3,0,664,81,0,0,0,3,0,0,745,113,432,37,24,73,41
Aa en Maas,Uden,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Ontmoetingsplein Muzerijk,0856::SB13,5402 BE,1681,940,17,14,0,0,0,887,84,0,0,0,0,0,0,971,89,495,88,66,117,85
