contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,VVD,50PLUS
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeentehuis,0762::SB1,5751 BE,2097,1082,49,20,0,0,0,1044,107,0,0,0,0,0,0,1151,293,306,112,63,183,125
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Verzorgingshuis De Nieuwenhof,0762::SB2,5751 BL,1938,766,24,7,0,0,0,685,111,0,0,1,0,1,0,796,349,162,59,31,90,75
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Wijkhuis D'n Houtenhoek,0762::SB3,5751 ES,2451,825,24,7,0,0,0,767,89,0,0,0,0,0,0,856,281,162,86,52,138,106
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Wijkcentrum De Heiakker,0762::SB4,5754 DV,1708,599,20,5,0,0,0,560,65,0,1,0,1,0,0,625,167,163,55,39,101,74
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gerardushuis,0762::SB5,5752 AP,1580,711,27,13,1,0,0,640,112,0,0,0,1,0,0,752,333,114,46,22,139,57
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Openbare basisschool De Bron,0762::SB6,5751 WJ,1545,538,11,7,0,0,0,510,46,0,0,0,0,0,0,556,138,135,71,31,86,77
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Hofke van Marijke,0762::SB7,5753 BE,1465,604,16,13,0,0,0,542,91,0,0,0,0,0,0,633,206,117,68,30,108,75
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau MFA 't Huis Vlierden,0762::SB8,5756 AM,1104,519,12,1,0,0,0,438,94,0,0,0,0,0,0,532,230,85,56,16,101,31
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Basisschool de Piramide,0762::SB9,5751 VC,1529,550,14,2,0,0,2,512,53,0,1,0,1,0,0,567,116,177,88,31,61,77
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau S.C.C. Den Draai,0762::SB10,5754 AV,2150,889,21,4,0,0,0,754,157,0,0,3,0,3,0,911,396,139,79,37,137,101
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis De Kastanje,0762::SB11,5757 AP,1537,666,10,3,0,0,0,570,109,0,0,0,0,0,0,679,291,122,38,18,126,71
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Ontmoetingsruimte 'de Gasterij',0762::SB12,5757 DZ,1155,389,4,5,0,0,0,333,65,0,0,0,0,0,0,398,153,96,32,14,56,38
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis De Moost,0762::SB13,5758 RN,1450,538,12,2,0,0,0,464,87,0,0,1,0,1,0,551,213,90,43,15,87,90
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeenschapshuis De Gouden Helm,0762::SB14,5759 PA,698,299,8,2,0,0,0,272,36,0,0,1,0,1,0,308,146,38,11,6,60,38
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Basisschool D'n Heiakker,0762::SB15,5754 DJ,1779,531,17,1,0,0,0,491,58,0,0,0,0,0,0,549,128,145,76,58,55,69
Aa en Maas,Deurne,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau brede school d'n Bogerd,0762::SB16,5753 GN,1286,365,11,0,0,0,0,337,39,0,0,0,0,0,0,376,123,93,39,18,44,48
