contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Hanzeheerd Brinkhoven,0246::SB1,8181 DB,1435,776,14,8,0,0,1,724,73,0,0,0,0,0,0,798,75,171,67,34,42,177,108,56,46
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Raadhuis,0246::SB2,8181 HL,1555,692,19,4,0,0,0,653,62,0,0,0,0,0,0,715,110,143,55,32,40,139,83,52,38
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Peuterpret,0246::SB3,8181 CH,1188,539,8,0,0,0,0,505,42,0,0,0,0,0,0,547,83,81,40,23,40,84,99,28,61
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Rhijnsberg,0246::SB4,8181 XW,1490,817,21,4,0,0,0,757,85,0,0,0,0,0,0,842,84,193,68,39,40,162,123,48,60
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Wendhorst,0246::SB5,8181 ET,1798,741,10,4,0,0,0,675,80,0,0,0,0,0,0,755,86,166,52,31,18,146,119,51,72
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Horsthoek,0246::SB6,8181 RE,874,426,6,1,0,0,0,379,54,0,0,0,0,0,0,433,49,115,35,11,11,64,80,22,39
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Jenaplanschool,0246::SB7,8181 LE,945,478,12,5,0,0,0,452,43,0,0,0,0,0,0,495,52,58,48,22,26,74,107,37,54
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau de Boerbrink,0246::SB8,8194 LT,683,391,4,0,0,0,0,357,38,0,0,0,0,0,0,395,45,45,48,24,15,70,66,39,39
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Hervormd Verenigingsgebouw,0246::SB9,8191 LS,1409,754,5,8,0,0,0,699,68,0,0,0,0,0,0,767,34,254,33,135,22,83,77,37,79
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Rehoboth,0246::SB10,8191 JE,970,473,15,3,0,0,0,442,49,0,0,0,0,0,0,491,47,117,38,43,17,44,104,33,30
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Hof van Cramer,0246::SB11,8191 AZ,1166,447,8,4,0,0,0,414,45,0,0,0,0,0,0,459,47,144,27,62,12,42,28,27,58
Vallei en Veluwe,Heerde,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Het Drieluik,0246::SB12,8191 XT,1203,598,11,0,0,0,0,550,59,0,0,0,0,0,0,609,61,195,38,65,31,56,42,49,61
