contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau V.E.G.  ""De Dorpsherberg""",0302::SB1,,1683,1029,17,17,0,0,0,939,124,0,0,0,0,0,0,1063,77,175,100,196,34,157,177,38,75
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Zorgcentrum ""De Bunterhoek""",0302::SB2,,1536,750,6,4,0,0,0,675,85,0,0,0,0,0,0,760,32,144,41,247,22,132,68,27,37
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Ds. A. van Stuijvenbergschool,0302::SB3,,1641,1030,21,8,0,0,0,967,91,0,0,1,0,1,0,1058,48,166,70,354,50,132,92,53,65
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau De Chr. basisschool ""Da Costa""",0302::SB4,,1488,778,16,3,0,0,1,729,67,0,0,0,0,0,0,797,56,155,68,171,34,92,87,37,78
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau De Chr. basisschool ""De Bron""",0302::SB5,,1780,946,19,4,0,0,0,881,88,0,0,0,0,0,0,969,43,260,55,208,28,135,94,45,78
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau De Chr. basisschool ""De Morgenster""",0302::SB6,,1458,760,9,8,1,0,0,694,82,0,0,1,0,0,0,776,57,193,60,192,36,93,53,20,56
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau De Chr. ZMLK-school ""De Wingerd""",0302::SB7,,1455,846,17,2,0,0,0,767,98,0,0,0,0,0,0,865,55,157,82,205,33,127,86,51,50
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Montessorischool ""De Ontdekking""",0302::SB8,,1443,790,11,2,0,0,0,730,73,0,0,0,0,0,0,803,66,158,46,227,16,104,67,43,63
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau De Chr. basisschool ""Petra""",0302::SB9,,1432,741,12,4,0,1,0,683,73,0,0,1,0,0,0,756,53,164,43,167,37,95,72,47,63
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Boaz-Jachinschool,0302::SB10,,1542,1058,13,3,0,0,0,913,161,0,0,0,0,0,0,1074,8,113,20,780,13,45,45,13,21
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Dislocatie Da Costaschool Elspeet,0302::SB11,,1645,1154,4,4,0,0,1,999,162,0,0,0,0,0,0,1162,9,142,36,818,9,71,38,9,22
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Dorpshuis ""De Wieken""",0302::SB12,,1552,766,17,0,0,0,0,698,85,0,0,0,0,0,0,783,29,143,57,198,18,97,98,47,79
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Dorpshuis ""Horsterhoek""",0302::SB13,,583,286,6,5,0,0,0,269,28,0,0,0,0,0,0,297,18,29,38,30,16,37,68,19,31
Vallei en Veluwe,Nunspeet,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Zorgcentrum ""Seewende""",0302::SB14,,1371,719,17,2,0,0,0,661,77,0,0,0,0,0,0,738,25,168,24,239,16,96,79,19,53
