contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Antoniushove,1586::SB1,7131 CW,1466,640,10,4,0,0,0,617,37,0,0,0,0,0,0,654,262,107,34,78,67,31,29,3,29
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Schuttersgilde St. Switbertus,1586::SB2,7131 ZT,1587,722,8,4,0,0,0,673,61,0,0,0,0,0,0,734,208,156,62,80,94,46,32,9,35
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau St. Jozefschool,1586::SB3,7131 GK,1514,758,4,11,0,0,0,702,71,0,0,0,0,0,0,773,263,149,80,111,73,20,31,1,30
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Den Diek,1586::SB4,7131 DP,1517,730,0,5,2,0,0,685,52,0,0,0,2,0,0,737,206,171,89,80,87,27,32,4,34
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau De Schoppe,1586::SB5,7131 SB,1366,620,8,5,0,0,0,585,48,0,0,0,0,0,0,633,123,156,57,49,82,40,58,9,46
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau St. Jorisschool,1586::SB6,7132 DK,1478,549,6,2,0,0,0,517,40,0,0,0,0,0,0,557,150,109,41,104,52,35,36,6,16
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gemeentehuis,1586::SB7,7131 BJ,1352,477,1,3,1,0,0,441,43,0,2,0,3,0,0,484,180,81,40,81,45,20,15,3,12
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Sportcomplex De Bult,1586::SB8,7134 NJ,819,407,2,2,0,0,0,363,48,0,0,0,0,0,0,411,335,17,12,22,3,10,0,0,8
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpshuis 't Kempken,1586::SB9,7135 JD,992,464,7,0,0,0,0,430,41,0,0,0,0,0,0,471,222,94,17,49,28,27,13,3,11
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Parochiehuis,1586::SB10,7136 LM,1580,789,4,2,0,0,0,723,72,0,0,0,0,0,0,795,318,297,23,72,18,41,6,2,12
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Bernard Vos Clubhuus,1586::SB11,7137 MD,1116,584,3,0,0,0,0,537,50,0,0,0,0,0,0,587,321,65,31,68,45,36,7,1,10
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Zorgcentrum ""De Molenberg""",1586::SB12,7141 AN,1408,534,10,3,0,0,0,488,59,0,0,0,0,0,0,547,201,60,42,82,65,31,27,6,20
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,"Stembureau Cultureel Centrum ""De Bron""",1586::SB13,7141 EK,1420,788,0,0,0,12,0,716,84,0,0,0,12,0,0,800,244,79,70,87,169,68,24,5,42
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Willibrordusschool,1586::SB14,7141 WH,1585,581,10,1,0,0,1,534,57,0,0,0,0,0,0,592,182,61,46,52,123,54,21,10,32
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau O.B.S. 't Palet,1586::SB15,7141 VG,1432,537,11,5,0,0,0,517,36,0,0,0,0,0,0,553,166,66,44,31,115,62,10,12,31
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Stadhuis,1586::SB16,7141 BE,1605,655,8,8,0,0,0,621,50,0,0,0,0,0,0,671,233,86,38,123,97,43,17,3,15
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau St. Theresiaschool,1586::SB17,7263 RW,657,275,3,1,0,0,0,250,29,0,0,0,0,0,0,279,117,69,9,35,15,15,9,1,5
Rijn en IJssel,Oost Gelre,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool St. Ludgerus,1586::SB18,7142 HA,398,252,1,0,0,0,0,226,27,0,0,0,0,0,0,253,152,10,4,21,23,36,2,3,1
