contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,ChristenUnie-SGP,Partij voor de Dieren,Partij voor Mens en Spirit (MenS),50PLUS
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stadhuis,0484::SB1,2405 SH,999,829,27,10,0,0,3,790,73,0,0,0,0,0,0,866,182,188,84,95,94,57,72,7,50
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Groene Hart Lyceum,0484::SB2,2405 VS,1098,435,10,2,0,0,0,401,46,0,0,0,0,0,0,447,93,90,53,31,42,59,35,2,30
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Opstandingskerk,0484::SB3,2404 BB,1106,580,9,5,0,0,0,548,46,0,0,0,0,0,0,594,106,97,55,52,82,78,53,4,53
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau ActiVite Rijnzate,0484::SB4,2404 VT,1310,277,3,5,0,0,0,268,17,0,0,0,0,0,0,285,92,36,27,27,22,25,20,2,26
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau ActiVite St. Joseph,0484::SB5,2405 BS,757,414,7,5,0,0,0,390,37,0,1,0,1,0,0,427,125,69,52,40,37,37,29,4,21
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Volle Evangelie Gemeente De Ark,0484::SB6,2405 AK,1092,446,5,2,0,1,0,396,58,0,0,0,1,0,0,454,109,87,46,44,59,51,30,3,17
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Nutsgebouw Zwammerdam,0484::SB7,2471 AT,1728,666,5,3,0,0,0,607,67,0,0,0,0,0,0,674,226,115,42,81,65,75,34,3,25
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Dorpshuis Aarlanderveen,0484::SB8,2445 AK,919,518,7,1,0,0,0,472,54,0,0,0,0,0,0,526,204,159,25,16,39,39,18,2,16
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool De Windroos,0484::SB9,2405 XA,1481,621,9,2,0,0,0,562,70,0,0,0,0,0,0,632,155,122,79,69,63,58,45,9,21
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool  De Rank,0484::SB10,2406 BB,1424,807,17,6,0,0,0,736,94,0,0,0,0,0,0,830,174,137,92,92,110,80,63,6,53
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Gebouw De Meerkoet,0484::SB11,2406 GA,1482,444,12,2,0,0,0,419,39,0,0,0,0,0,0,458,80,76,48,58,54,34,52,4,38
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Goede Herderkerk,0484::SB12,2406 TV,1523,588,15,2,0,0,0,551,54,0,0,0,0,0,0,605,121,96,83,46,64,64,66,8,40
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Scala College,0484::SB13,2403 AS,1753,647,12,11,1,0,0,608,63,0,0,0,1,0,0,671,123,109,88,94,92,58,36,7,40
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool An Noer,0484::SB14,2402 BT,1518,360,25,7,0,1,0,344,49,0,0,0,1,0,0,393,69,47,46,75,42,29,24,6,22
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Driehoorne Serviceflat,0484::SB15,2402 AG,1236,624,26,11,0,1,0,621,41,0,0,0,1,0,0,662,171,78,50,79,57,68,42,10,69
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Alrijne Ziekenhuis (vm. Rijnland),0484::SB16,2402 WC,1347,542,11,2,0,0,0,500,55,0,0,0,0,0,0,555,120,118,48,75,58,40,50,3,30
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wijkcentrum Ridderveld,0484::SB17,2402 JG,1457,497,5,3,0,0,0,449,56,0,0,0,0,0,0,505,81,80,70,56,78,38,44,7,43
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Alphense Montessorischool,0484::SB18,2402 HB,1064,617,17,4,0,0,0,573,64,0,0,1,0,1,0,637,109,83,63,87,112,47,49,6,61
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Zalencentrum De Bron (1),0484::SB19,2402 EP,1260,597,25,6,0,0,0,575,53,0,0,0,0,0,0,628,104,114,81,72,69,49,54,12,42
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau De Vlinder,0484::SB20,2403 NC,1365,540,13,2,0,0,0,496,59,0,0,0,0,0,0,555,107,79,70,60,78,60,53,5,28
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Zalencentrum De Bron (2),0484::SB21,2402 EP,1299,579,12,4,0,0,0,545,50,0,0,0,0,0,0,595,111,78,65,81,83,56,46,3,56
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool Het Spectrum,0484::SB22,2403 HN,1244,679,20,6,1,0,0,640,64,0,0,1,0,0,0,704,145,128,77,80,115,57,49,5,23
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool De Stromen,0484::SB23,2403 PH,1018,580,14,2,0,0,0,546,50,0,0,0,0,0,0,596,92,102,90,62,78,45,63,11,37
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool De Mare,0484::SB24,2402 LG,1418,524,7,3,0,0,0,478,57,0,1,0,1,0,0,535,83,87,54,72,78,46,63,15,26
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool Hobbitburcht,0484::SB25,2402 MZ,1660,776,20,2,0,0,0,722,71,0,0,5,0,5,0,793,135,153,98,86,128,40,70,7,59
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wooncentrum Noorderbrink,0484::SB26,2401 PR,1265,468,8,6,0,0,0,454,28,0,0,0,0,0,0,482,65,79,56,54,66,56,45,9,38
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wooncentrum  Anton Constandse,0484::SB27,2401 KZ,1281,686,13,6,0,0,0,658,47,0,0,0,0,0,0,705,134,156,89,63,94,50,52,6,42
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau ActiVite Zuidervaart,0484::SB28,2408 TW,1710,860,31,2,0,0,0,815,78,0,0,0,0,0,0,893,166,252,75,93,94,93,53,1,33
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wijkcentrum Kerk en Zanen,0484::SB29,2408 NV,1691,906,21,1,0,0,0,843,85,0,0,0,0,0,0,928,202,189,81,104,123,88,63,8,48
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Maranathakerk,0484::SB30,2406 AP,2089,1093,18,6,0,0,0,1007,110,0,0,0,0,0,0,1117,284,259,135,127,115,68,68,7,30
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau De Lichtkring,0484::SB31,2408 TV,2098,848,20,4,0,0,0,757,114,0,0,1,0,1,0,871,184,237,75,94,95,73,52,4,34
Rijnland,Alphen aan den Rijn,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool De Wereldwijzer,0484::SB32,2408 NV,1659,650,19,8,0,0,0,597,80,0,0,0,0,0,0,677,110,143,57,101,108,53,53,4,21
