contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Werken aan Water,VVD,Algemene Waterschapspartij,Tilburgse Volkspartij (TVP) & Ouderen Nu,50PLUS
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Zorgcentrum Kempenhof,0858::SB1,5554 JV,1787,783,29,8,0,0,0,720,100,0,0,0,0,0,0,820,129,183,79,157,164,13,3,55
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Buurtgebouw De Horizon,0858::SB2,5554 PA,1354,499,13,9,0,0,0,478,43,0,0,0,0,0,0,521,87,111,43,135,64,13,7,39
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Lunet zorg,0858::SB3,5554 TK,1719,518,10,3,0,0,0,474,57,0,0,0,0,0,0,531,124,122,41,98,47,22,5,59
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Buurthuis de Hijskraan 't Gegraaf,0858::SB4,5552 NL,1328,518,19,2,0,0,0,500,39,0,0,0,0,0,0,539,117,90,56,134,41,18,3,59
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau TafeltennisVereniging Valkenswaard,0858::SB5,5552 KK,1751,571,22,7,0,0,0,541,58,0,0,1,0,0,0,599,121,82,51,117,100,29,11,60
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Carolus gebouw,0858::SB6,5554 AG,2025,785,28,8,0,1,0,740,82,0,0,0,1,0,0,822,164,151,70,174,107,28,7,84
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Trefcentrum D'n Turfberg,0858::SB7,5553 EL,1537,808,24,6,0,0,0,744,94,0,0,0,0,0,0,838,151,164,73,171,129,28,4,88
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Gemeentehuis,0858::SB8,5554 DA,1912,675,10,1,0,0,2,614,70,0,0,0,0,0,0,686,139,140,61,125,115,18,4,73
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Gemeentehuis,0858::SB9,5554 DA,1813,609,30,3,0,0,0,570,72,0,0,0,0,0,0,642,122,123,73,112,106,10,4,59
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Zorgcentrum Taxandria,0858::SB10,5555 KL,1691,684,24,1,0,0,0,627,82,0,0,0,0,0,0,709,115,150,47,186,119,16,2,49
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Parochiezaal H. Martinuskerk,0858::SB11,5551 AW,1019,526,2,19,0,0,0,482,65,0,0,0,0,0,0,547,103,147,54,85,84,17,0,36
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Dommelsche Bierbrouwerij,0858::SB12,5551 AE,1415,546,14,8,0,0,0,517,51,0,0,0,0,0,0,568,103,91,59,144,71,24,6,48
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Sporthal de Belleman,0858::SB13,5551 EV,1563,685,22,1,0,0,0,650,58,0,0,0,0,0,0,708,191,102,74,131,77,29,3,78
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool Schepelweijen,0858::SB14,5551 PN,1492,552,14,3,0,0,1,521,47,0,0,0,0,0,0,569,137,88,51,117,61,30,2,66
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Clubgebouw  't Heike V.V. Dommelen,0858::SB15,5551 TE,1674,570,10,0,0,0,0,515,65,0,0,0,0,0,0,580,168,85,60,104,78,22,3,50
De Dommel,Valkenswaard,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Het Dorpshuis,0858::SB16,5556 VL,882,423,9,3,0,0,0,381,54,0,0,0,0,0,0,435,39,176,24,53,95,8,5,23
