contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,Algemene Waterschapspartij,50PLUS
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Gemeentehuis,1690::SB1,7921 GD,1380,807,7,2,0,0,0,730,86,0,0,0,0,0,0,816,206,88,103,188,50,143,29
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Ontmoetingscentrum De Boerhoorn,1690::SB2,7921 GB,894,558,5,7,0,1,0,522,47,0,0,1,0,0,0,569,203,44,61,74,21,112,43
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Zorgcentrum Tonckenshuys,1690::SB3,7921 VR,1484,704,11,1,0,0,0,650,66,0,0,0,0,0,0,716,235,69,106,84,49,120,41
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis 't Markehuus,1690::SB4,7924 PP,462,237,3,1,0,0,0,219,23,0,1,0,1,0,0,242,35,44,28,58,10,52,10
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis Buddingehof,1690::SB5,7961 AM,1030,578,10,1,0,0,1,532,56,0,0,0,0,0,0,589,107,93,81,149,34,89,25
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorphuis De Kolonie,1690::SB6,7961 NH,705,458,0,4,0,0,1,414,47,0,0,0,0,0,0,462,133,77,34,129,18,50,17
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Streekcentrum De Snikke,1690::SB7,7924 RD,542,296,5,4,0,0,0,278,27,0,0,0,0,0,0,305,65,49,34,72,12,47,17
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis Linde,1690::SB8,7925 PB,442,253,3,0,0,0,0,228,28,0,0,0,0,0,0,256,78,34,18,60,18,33,12
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis 't Drogterhuus,1690::SB9,7705 PH,353,167,2,0,0,0,0,150,19,0,0,0,0,0,0,169,57,14,11,21,14,32,18
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Zorgcentrum De Priensenije,1690::SB10,7963 CN,1432,683,5,10,0,0,0,647,51,0,0,0,0,0,0,698,122,162,101,178,19,65,36
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Ontmoetingscentrum De Tump,1690::SB11,7963 BX,1295,742,9,4,0,0,2,686,67,0,0,0,0,0,0,755,102,163,87,220,12,100,58
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis Bastogne,1690::SB12,7964 KK,462,294,4,0,0,0,0,272,26,0,0,0,0,0,0,298,49,64,33,99,6,35,8
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Schakel,1690::SB13,7958 SB,1507,840,8,4,0,0,0,773,79,0,0,0,0,0,0,852,315,110,71,171,46,76,51
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Welzijncentrum Havezate,1690::SB14,7957 AC,1121,694,8,3,0,0,1,641,63,0,0,0,0,0,0,705,71,146,92,187,16,115,67
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Zorgcentrum Dunninghe,1690::SB15,7957 EA,1114,519,11,4,0,0,0,490,44,0,0,0,0,0,0,534,77,115,53,148,20,82,24
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis D' Olde Karke,1690::SB16,7932 PP,310,205,3,4,0,0,0,196,17,0,1,0,1,0,0,213,36,31,12,60,17,38,11
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Alke,1690::SB17,7927 TC,1135,557,1,8,0,0,0,524,42,0,0,0,0,0,0,566,262,48,44,59,47,59,38
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Zorgcentrum 't Vonder,1690::SB18,7961 AV,1209,522,19,1,0,0,0,498,44,0,0,0,0,0,0,542,114,57,77,142,26,79,27
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Veldhoek,1690::SB19,7958 RC,478,227,1,0,0,0,0,204,24,0,0,0,0,0,0,228,49,41,29,38,6,33,31
Reest en Wieden,De Wolden,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau De Ontmoetingskerk,1690::SB20,7921 AH,1194,548,4,5,0,0,0,513,44,0,0,0,0,0,0,557,201,52,51,89,54,82,19
