contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Lokale Regiobelangen Rivierenland,Algemene Waterschapspartij,Staatkundig Gereformeerde Partij (SGP),VVD,ChristenUnie,Huiseigenaren,Partij voor de Dieren,PSP'92 Rivierenland,50PLUS
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Stadhuis,0620::SB1,4132 AS,1804,1003,27,8,0,0,0,931,107,0,0,0,0,0,0,1038,155,227,122,72,34,54,165,27,39,64,7,37
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Basisschool De Rank,0620::SB2,4132 CC,1945,785,20,3,0,0,0,728,80,0,0,0,0,0,0,808,160,149,96,59,33,11,111,20,32,57,6,51
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Zorgcentrum Hof van Batenstein,0620::SB3,4131 HA,1533,642,9,8,0,0,0,612,47,0,0,0,0,0,0,659,152,133,74,58,20,24,47,19,26,40,6,43
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Prenter,0620::SB4,4131 GZ,1805,552,12,7,0,0,0,541,30,0,0,0,0,0,0,571,68,111,84,64,27,20,44,17,30,40,4,43
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Wiekslag,0620::SB5,4133 EA,1964,854,20,2,0,0,0,778,99,0,1,0,1,0,0,877,137,171,104,82,32,12,132,25,55,60,4,40
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Geref.kerk De Hoeksteen,0620::SB6,4133 NB,1729,742,7,4,0,2,0,689,66,0,0,0,2,0,0,755,99,177,98,64,36,15,84,21,29,61,7,51
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Clubgebouw Brederodes,0620::SB7,4133 AX,1886,779,3,12,0,1,0,720,75,0,0,0,1,0,0,795,153,157,101,66,28,21,86,32,40,53,5,37
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Dorpshuis De Biezen,0620::SB8,4124 AK,1179,641,13,3,0,0,0,577,80,0,0,0,0,0,0,657,180,75,27,72,21,70,66,36,29,36,2,27
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Dorpshuis 't Knooppunt,0620::SB9,4121 EL,854,458,1,1,0,0,0,422,37,0,0,1,0,1,0,459,135,46,35,52,6,35,43,42,23,23,2,16
Rivierenland,Vianen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Ver.gebouw De Krooshof,0620::SB10,4122 GX,760,418,6,0,0,0,0,374,50,0,0,0,0,0,0,424,161,24,18,19,6,48,28,55,21,25,5,8
