contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Algemene Waterschapspartij Delfland,Partij voor de Dieren,50PLUS,ChristenUnie-SGP
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Duinhage Florence,0518::SB101,,1053,773,13,2,0,0,1,710,78,0,1,0,1,0,0,789,110,94,73,225,109,93,48,21
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Middelbare School Dalton Den Haag,0518::SB102,,1305,893,25,1,0,1,0,833,88,0,1,0,2,0,0,921,79,124,117,232,160,124,38,19
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Inspecteur S. de Vriesschool,0518::SB103,,1160,445,4,12,0,0,0,422,39,0,0,0,0,0,0,461,61,49,41,60,87,73,55,19
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Haags Centrum voor Onderwijsbegeleiding,0518::SB104,,1375,681,24,9,0,0,0,632,82,0,0,0,0,0,0,714,101,59,77,226,98,68,37,15
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wijk- en dienstencentrum De Wiekslag,0518::SB105,,2711,994,28,9,0,1,0,936,94,0,0,1,0,0,0,1030,158,120,94,201,167,141,75,38
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau WoonZorgPark Loosduinen,0518::SB106,,1515,686,10,7,0,0,0,656,49,0,0,0,2,0,0,705,120,77,78,97,108,101,67,38
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,"Stembureau Parnassia, Gehoorzaal nr. 87",0518::SB107,,1637,587,11,3,0,0,0,554,49,0,2,0,2,0,0,603,76,59,84,184,68,56,35,25
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Stadsdeelkantoor Loosduinen,0518::SB109,,2098,1061,27,7,0,1,2,995,101,0,2,0,3,0,0,1098,130,156,117,160,167,156,131,44
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Koos Meindertsschool,0518::SB112,,2291,801,30,5,0,0,0,754,84,0,2,0,2,0,0,838,101,105,105,121,140,108,82,39
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau WZH Zorgcentrum Nieuw Berkendael,0518::SB114,,1387,414,8,5,0,10,0,386,51,0,0,0,10,0,0,437,46,65,60,56,62,49,60,16
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Florence Zorgcentrum Houthaghe,0518::SB117,,1910,699,22,8,0,1,0,678,55,0,3,0,4,0,0,733,100,85,93,66,99,94,121,41
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Verpleeghuis Houtwijk,0518::SB118,,1508,706,10,4,0,2,0,639,79,0,0,2,0,0,0,718,131,118,85,106,105,65,69,27
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Chr. Basisschool Leyenburg,0518::SB119,,1607,587,9,8,0,0,0,543,61,0,0,0,0,0,0,604,73,94,44,101,101,90,66,18
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Katholieke basisschool De Oase,0518::SB120,,2551,1114,24,17,0,0,0,1053,92,0,0,10,0,10,0,1145,152,138,126,208,199,185,71,35
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Tuincentrum Onings,0518::SB122,,2263,1008,18,5,0,0,0,964,79,0,12,0,12,0,0,1043,105,141,131,197,161,175,73,25
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Centrum de Geest,0518::SB125,,1692,550,12,4,0,0,0,496,70,0,0,0,0,0,0,566,52,97,74,49,97,111,43,27
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wijndaelercentrum Florence,0518::SB126,,1407,579,17,2,0,0,1,554,43,0,0,0,0,0,0,598,97,68,60,111,79,84,61,19
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Woon- zorgcentrum Tabitha,0518::SB127,,2137,1062,24,6,0,0,0,988,106,0,0,0,2,0,0,1094,190,106,101,236,155,124,96,54
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Verzorgingshuis Loosduinse Hof,0518::SB128,,1563,654,25,5,1,0,0,612,73,0,0,0,1,0,0,685,73,91,87,52,121,123,80,27
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Serviceflat Dekkershaghe,0518::SB131,,318,325,4,2,0,0,0,314,17,0,0,0,0,0,0,331,65,37,20,63,57,43,27,13
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wijkcentrum Bokkefort,0518::SB132,,1033,351,10,2,0,0,0,335,28,0,0,0,0,0,0,363,31,72,39,43,78,51,30,7
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,"Stembureau Middin, AC Waldeck",0518::SB134,,1082,216,4,4,0,0,0,198,26,0,0,0,0,0,0,224,27,22,29,21,53,39,21,4
Delfland,'s-Gravenhage,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau De Eshof,0518::SB135,,676,349,7,2,0,0,0,317,42,0,1,0,1,0,0,359,38,32,36,51,81,60,39,12
