contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Zeeuws-Vlaanderen,Staatkundig Gereformeerde Partij (SGP),CDA,VVD,Partij voor Zeeland,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,Algemene Waterschapspartij Zeeland,50PLUS
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Willibrord Verpleeghuis,0687::SB1,,1633,714,33,2,0,0,0,691,58,0,0,0,0,0,0,749,28,17,50,113,60,141,169,62,42,32
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Acaciahof,0687::SB2,,1525,645,15,4,0,0,0,605,59,0,0,0,0,0,0,664,31,21,56,108,52,110,167,48,30,22
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Ver.gebouw Gasthuiskerk,0687::SB3,,1340,614,17,5,0,0,0,578,58,0,0,0,0,0,0,636,24,28,57,87,44,100,155,42,38,39
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Wijkcentrum Van Cittershoff,0687::SB4,,906,574,5,0,0,0,0,523,56,0,0,0,0,0,0,579,14,125,135,42,31,44,86,57,24,16
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Zorgcentrum Eben-Haëzer,0687::SB5,,1141,704,8,1,0,7,0,644,62,0,0,7,0,0,0,706,14,134,126,92,41,102,92,60,18,25
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 't Gasthuis,0687::SB6,,1680,913,17,6,0,0,1,820,115,0,0,0,0,0,0,936,24,94,140,84,65,152,175,93,46,40
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Hof van Buren,0687::SB7,,1639,1079,33,17,0,0,0,1037,92,0,0,0,0,0,0,1129,35,76,160,131,93,193,171,83,62,75
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Wijkgebouw 't Bolwerk,0687::SB8,4331 TB,1040,499,6,3,0,0,1,455,52,0,0,0,0,0,0,508,17,47,66,57,40,85,101,37,26,23
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Praktijkschool Het Bolwerk,0687::SB9,,1229,678,14,5,0,0,0,623,74,0,0,0,0,0,0,697,4,72,84,83,61,125,111,72,45,21
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Durps'uus op d'n oek,0687::SB10,,1070,572,0,1,0,0,0,512,61,0,0,0,0,0,0,573,20,96,105,39,73,60,55,56,36,32
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Kindcentrum De Aventurijn,0687::SB12,,1337,643,8,12,0,0,1,614,48,0,0,0,0,0,0,663,15,57,91,64,70,124,118,57,28,19
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Kerkgebouw de Hoeksteen,0687::SB14,,1458,734,11,3,0,0,0,685,63,0,0,0,0,0,0,748,22,27,81,52,94,149,105,82,54,68
Scheldestromen,Middelburg,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Kerkgebouw de Morgenster,0687::SB16,,2294,1049,6,8,0,0,0,938,128,0,0,0,3,0,0,1066,18,269,138,84,84,160,123,99,41,33
