contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Lagere Lasten Burger,"Bedrijf, Boer en Burger",FNP,VVD,ChristenUnie,50PLUS,Partij voor de Dieren
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeentehuis,1891::SB1,9104 BR,1255,775,5,5,0,0,0,699,86,0,0,0,0,0,0,785,49,68,198,90,39,100,36,156,19,20
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Dorpshuis ""De Kruisweg""",1891::SB2,9104 BG,1652,816,9,3,0,1,0,740,89,0,0,0,1,0,0,829,55,63,265,99,25,85,24,173,13,14
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Dorpshuis ""De Nije Warf""",1891::SB3,9113 PA,1463,739,6,1,0,1,0,638,109,0,0,0,1,0,0,747,36,33,200,75,15,63,32,252,10,23
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Nij Tjaerda,1891::SB4,9104 KA,1514,721,8,2,0,0,0,655,76,0,0,0,0,0,0,731,64,50,133,104,40,112,17,158,21,22
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau MFC  ""De Beijer""",1891::SB5,9105 KG,901,454,2,3,0,0,0,418,41,0,0,0,0,0,0,459,36,17,129,44,47,72,34,49,8,18
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Herberge ""De Trochreed""",1891::SB6,9067 DM,162,120,0,1,0,0,0,110,12,0,1,0,1,0,0,122,13,2,22,21,12,12,15,7,4,12
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Dorpshuis  ""De Pipegael""",1891::SB7,9108 NE,1109,599,10,2,0,0,0,547,64,0,0,0,0,0,0,611,40,28,185,86,41,56,26,111,9,17
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Kerkelijk Centrum ""De Mienskip""",1891::SB8,9269 SW,1504,689,11,5,0,0,1,650,54,0,0,0,0,0,0,705,84,93,145,103,23,106,26,65,17,27
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Talma Hoeve,1891::SB9,9269 VS,1354,804,14,6,0,0,0,741,83,0,0,0,0,0,0,824,124,84,186,93,42,94,60,59,19,43
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Brugchelencamp,1891::SB10,9271 EP,1343,593,5,2,0,0,0,543,57,0,0,0,0,0,0,600,44,76,107,73,2,142,15,92,19,23
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Lokaal Chr.Geref. kerk,1891::SB11,9271 CH,1531,583,7,2,0,0,0,508,84,0,0,0,0,0,0,592,61,63,94,89,17,117,19,95,8,20
Fryslân,Dantumadiel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Lokaal Ned.Herv. kerk,1891::SB12,9271 BP,1203,554,7,3,0,0,0,505,59,0,0,0,0,0,0,564,33,52,103,91,16,109,31,78,21,20
