contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Waterschap@inwonersbelangen,Algemene Waterschapspartij,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Het Gemeentehuis,0352::SB1,3962 CL,1761,1209,34,11,0,1,0,1107,146,0,0,1,0,0,0,1253,515,158,111,193,50,25,45,27,85
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau E en E Gasthuis,0352::SB2,3961 CR,1591,626,13,9,0,0,0,587,61,0,0,0,0,0,0,648,230,94,70,60,34,23,36,7,72
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool De Werkschuit,0352::SB3,3962 JD,1833,938,6,27,0,1,0,900,72,0,0,0,1,0,0,972,409,105,97,111,50,25,45,23,73
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Revius Lyceum,0352::SB4,3962 KT,2466,1056,23,2,0,2,0,969,114,0,0,0,2,0,0,1083,345,155,91,233,78,25,39,22,68
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool De Wegwijzer,0352::SB5,3962 AD,2076,819,14,5,0,0,0,766,72,0,0,0,0,0,0,838,299,109,76,124,48,13,52,13,85
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool Het Palet,0352::SB6,3961 EE,1497,586,25,3,0,0,0,553,61,0,0,0,0,0,0,614,239,62,56,79,47,22,36,2,43
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool 't baken,0352::SB7,3961 JJ,1439,737,12,1,0,0,0,672,78,0,0,0,0,0,0,750,295,64,78,123,45,14,38,12,68
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool De Regenboog,0352::SB8,3961 LA,1528,664,5,1,0,0,0,584,86,0,0,0,0,0,0,670,236,93,43,116,47,14,44,17,54
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau 't Dorpshuys van Cothen,0352::SB11,3945 CB,2401,1105,24,3,0,0,0,1000,132,0,0,0,0,0,0,1132,305,300,61,168,87,42,38,49,55
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Dorpshuis Langbroek,0352::SB12,3947 PG,1715,952,5,7,0,0,0,845,119,0,0,0,0,0,0,964,203,135,41,110,40,13,69,302,39
