contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Zeeuws-Vlaanderen,Staatkundig Gereformeerde Partij (SGP),CDA,VVD,Partij voor Zeeland,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,Algemene Waterschapspartij Zeeland,50PLUS
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Hal Stadhuis,0718::SB1,4382 LG,1381,794,22,9,0,0,0,754,72,0,1,0,1,0,0,826,28,13,93,102,108,125,120,38,101,66
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Speeltuinvereniging De Oude Stad,0718::SB2,4381 AJ,1177,384,2,7,0,0,0,358,36,0,0,0,1,0,0,394,16,9,31,43,49,83,54,16,39,44
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Bibliotheek 't Spui,0718::SB3,4381 HR,1437,651,13,8,0,0,0,628,48,0,4,0,4,0,0,676,25,8,55,77,101,131,93,29,78,54
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lokaal  Ger. Kerk Vrijgemaakt,0718::SB4,4381 VB,1352,364,6,2,0,0,2,340,30,0,0,0,0,0,0,372,22,18,48,39,57,51,43,21,41,24
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lokaal  Het Vlot,0718::SB5,4382 SE,1108,317,3,11,0,0,0,309,22,0,0,0,0,0,0,331,8,6,28,17,61,62,41,12,26,56
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Atrium  Zorgcentrum Ter Reede,0718::SB6,4382 CJ,1296,347,9,5,0,0,0,330,31,0,0,0,0,0,0,361,13,10,52,49,47,52,32,15,46,31
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Kantine Beheer Gemeente Vlissingen,0718::SB7,4382 CJ,1127,362,4,0,0,0,0,326,40,0,0,0,0,0,0,366,5,10,53,54,57,45,40,22,43,33
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Stichting Roat,0718::SB8,4383 SR,1062,318,4,2,0,0,0,289,35,0,0,0,0,0,0,324,8,6,34,41,53,51,18,25,33,49
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lokaal  Louise de Colignyschool,0718::SB9,4384 EV,2703,1345,24,11,0,0,0,1264,118,0,2,0,2,0,0,1382,57,50,157,240,168,180,189,72,129,103
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lokaal Theo Thijssenschool,0718::SB10,4384 PA,1474,557,6,8,0,0,0,521,50,0,0,0,0,0,0,571,15,10,70,100,93,83,75,19,51,41
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lokaal Apostolisch Genootschap,0718::SB11,4386 GZ,1594,810,14,8,0,0,0,748,85,0,1,0,1,0,0,833,22,25,86,197,123,91,97,35,50,84
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Lokaal basisschool De Vlieger,0718::SB12,4385 AM,1287,481,12,2,0,0,0,457,38,0,0,0,0,0,0,495,19,27,33,34,92,63,47,28,72,66
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Kerk De Schaapskooi,0718::SB13,4386 EA,1307,527,5,4,0,0,0,492,44,0,0,0,0,0,0,536,15,18,44,57,96,80,70,46,55,46
Scheldestromen,Vlissingen,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Adventkerk,0718::SB14,4386 AL,1310,621,10,4,0,0,0,562,73,0,0,0,0,0,0,635,20,64,77,60,80,72,78,42,92,36
