contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Water Natuurlijk,CDA,SGP-ChristenUnie,DWLK & Schieland: Helder als water,Stichting Veilig Vitaal Waterbeheer,Algemene Waterschapspartij,50PLUS
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau De Smitshoek, Bergschenhoek",1621::SB1,2661 CK,2184,875,21,3,0,0,0,795,104,0,0,0,0,0,0,899,83,201,103,163,122,78,23,34,68
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Bibliotheek Oostland, Bergschenhoek",1621::SB3,2661 HP,2165,1010,33,5,0,1,2,955,90,0,0,1,0,0,0,1047,111,160,151,177,132,120,43,66,50
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Postduivenvereniging, Bergschenhoek",1621::SB4,2661 GV,762,413,7,3,1,0,0,374,49,0,0,1,0,0,0,423,26,74,74,63,45,64,27,16,24
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau RK Basisschool Pius X, Bergschenhoek",1621::SB5,2661 KZ,1908,889,25,4,0,0,0,811,108,0,0,0,1,0,0,919,106,202,123,134,88,81,25,64,66
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Ger. Vrijgem. Kerk, Bergschenhoek",1621::SB6,2661 TP,1607,750,19,2,1,0,0,665,107,0,0,0,1,0,0,772,74,268,73,86,89,67,21,33,39
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Jongeren Centrum Spectrum, Bergschenhoek",1621::SB7,2661 AL,2075,1015,28,7,0,0,0,928,122,0,0,0,0,0,0,1050,104,285,138,152,88,106,34,60,48
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Scholencomplex CBS De Acker, Bergschenhoek",1621::SB8,2661 SX,2170,900,19,6,0,1,0,825,101,0,0,0,1,0,0,926,106,259,114,133,87,78,34,49,40
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Basisschool De Poolster, Berkel en Rodenrijs",1621::SB9,2651 RC,0,12,0,0,1,0,0,11,2,0,0,0,1,0,0,13,4,1,1,2,0,1,0,0,3
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau RK Basisschool De Klipper, Berkel en Rodenrijs",1621::SB10,2652 CJ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Schieland en de Krimpenerwaard,Lansingerland,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Pr. Mauritsschool, Berkel en Rodenrijs",1621::SB11,2651 GS,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,4,2,0,0,1,1,0,0,0,0
