contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Lokale Regiobelangen Rivierenland,Algemene Waterschapspartij,Staatkundig Gereformeerde Partij (SGP),VVD,ChristenUnie,Huiseigenaren,Partij voor de Dieren,PSP'92 Rivierenland,50PLUS
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Ambtmanshuis,0281::SB1,4001 MC,2459,848,13,8,0,0,0,779,90,0,0,0,0,0,0,869,125,94,127,130,68,10,111,16,26,75,26,40
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Verenigingsgebouw AVGN,0281::SB2,4001 WJ,2025,605,9,2,0,0,0,551,65,0,0,0,0,0,0,616,85,73,90,90,47,2,71,14,33,57,14,29
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Zorgcentrum Walstede,0281::SB3,4001 HE,1544,683,14,5,0,0,1,622,79,0,0,0,0,0,0,702,110,80,92,106,49,6,100,16,25,54,11,34
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Verenigingsgebouw KTVM,0281::SB4,4001 HZ,2020,475,12,1,0,0,0,434,54,0,0,0,0,0,0,488,47,48,77,76,20,4,48,16,25,54,23,37
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Centrum Oosthonk,0281::SB5,4005 VR,1930,600,16,7,0,0,0,554,69,0,0,0,0,0,0,623,66,78,91,106,26,9,63,13,26,56,18,48
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Vier Gravinnen,0281::SB6,4001 RZ,1650,554,10,5,0,0,0,495,74,0,0,0,0,0,0,569,109,15,121,69,36,6,59,21,14,47,28,29
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Achtbaan,0281::SB7,4005 VV,1764,453,10,1,0,1,2,417,46,0,0,0,1,0,0,465,50,43,62,93,34,5,73,9,19,33,11,21
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Verpleeghuis Vrijthof,0281::SB8,4003 CA,1759,766,21,11,0,1,0,724,73,0,0,1,0,0,0,797,136,104,79,112,42,12,136,27,34,42,17,25
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Serviceflat De Batouwe,0281::SB9,4006 AG,2496,793,21,8,1,0,0,738,85,0,0,0,1,0,0,823,114,72,173,135,41,17,48,36,10,53,34,60
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Zorgcentrum Lingewaarde,0281::SB10,4002 AG,1747,812,9,3,0,3,1,735,91,0,0,0,3,0,0,827,157,89,119,107,39,9,120,18,30,55,15,54
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Centrum Westroyen,0281::SB11,4003 AL,1596,532,7,0,0,2,0,497,44,0,0,0,2,0,0,541,62,48,105,73,25,10,41,18,25,42,32,51
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau dorpshuis De Kokkenhof,0281::SB12,4014 MA,1412,675,9,8,0,1,0,602,91,0,0,0,1,0,0,693,112,77,55,68,27,91,123,23,21,43,10,25
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Drumptse Hof,0281::SB13,4003 GA,1789,893,34,4,0,31,0,847,115,0,0,0,31,0,0,962,153,84,130,150,49,15,164,24,29,58,19,18
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Verenigingsgebouw Tielse T.C.,0281::SB14,4003 KX,1628,623,16,3,0,0,2,559,81,0,0,0,0,0,0,642,103,76,78,94,36,8,77,27,39,41,14,30
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Eksternest,0281::SB15,4007 VA,2115,839,12,4,0,0,0,764,91,0,0,0,0,0,0,855,96,117,110,129,53,6,145,38,29,58,14,44
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau de Waaijer,0281::SB16,4007 TP,2201,1050,11,3,0,0,0,918,146,0,0,0,0,0,0,1064,152,104,122,160,75,8,197,33,67,56,19,57
Rivierenland,Tiel,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Rotondaschool,0281::SB17,4007 TJ,2307,711,9,5,1,0,0,627,99,0,0,0,1,0,0,726,87,88,82,98,26,13,149,44,36,49,21,18
